CountryName,OfficialName,Code,ISO3Code,UNCode,UNICEFCode,MDGRegion1,MDGRegion1excl,MDGRegion2,MDGRegion3,MDGRegion4,MDGRegion5,MDGRegion6,UNICEFProgRegion1,UNICEFProgRegion2,UNICEFProgRegion3,UNICEFProgRegion4,UNICEFProgRegion5,UNICEFProgRegion6,ECACountries,WHORegion1,WBRegion1,WBRegion2,WBRegion3,WBRegion4,WBRegion5,UNPDRegion1,UNPDRegion2,UNPDRegion3,UNPDRegion4,UNPDRegion5,OICRegion1,OICRegion2,OICRegion3,OICRegion4,Countdown.and.COIA.75.Priority.Countries,ECAAfrica,AURegion1,AURegion2,FragileCountries2013,FragileCountries2014,FragileCountries2015,FragileCountries2017,FragileCountries2018,FragileCountries2018OECD1,FragileCountries2018OECD2,FragileCountries2019,FCSCountries2020,USAIDcountry,M49Region1,M49Region2,M49Region3,SDGSimpleRegion1,SDGSimpleRegion2,SDGSimpleRegion3,SDGSimpleRegion4,SDGSimpleRegion5,SDGSimpleRegion6,SDGRegion1,SDGRegion2,SDGRegion3,SDGRegion4,SDGRegion5,SDGRegion6,SDGRegion7,HAC2020,HAC2019,GlobalStrategy,Conflict,UNICEFReportRegion1,UNICEFReportRegion2,Wealthdata1,Wealthdata2,Wealthdata3,WealthdataGlobal,Wealthall1,Wealthall2,Wealthall3,WealthallGlobal,UNRegion,AfricanEconomicCommunity,GAVICountries,SDGRCRegion1,SDGRCRegion2,SDGRCRegion3,SDGRCRegion4,SDGRCRegion5,SDGRCRegion6,SDGRCRegion7,SDGRCRegion8,SDGRCRegion9,SDGRCRegion10,SDGRCRegion11,SDGRCRegion12,SDGRCRegion13,SDGRCRegion14,SDGRCRegion15,JHURegion,SPhumanitarian,JHUFragile2021,LiST_UNICEFProgramm,LiST_UNICEFReport,LiST_all,ListSBRESCAP,ListSBR,EAPRORegion1,EAPRORegion2,EAPRORegion3,EAPRORegion4,EAPRORegion5,EAPRORegion6,EAPRORegion7,EAPRORegion8,EAPRORegion9
Afghanistan,Afghanistan,67,AFG,4,AFG,Southern Asia,Southern Asia excluding India,Developing regions,,Least developed countries,,LLDC,South Asia,South Asia,Asia,Developing countries,Least developed countries,,,Eastern Mediterranean,South Asia,South Asia (excluding high-income),Low income,Low income,Low and middle income,Asia,,Less developed regions,Least developed countries,Excluding China,OIC,Asia/other,OIC Low income,,Countdown,,,,Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Extremely Fragile,Fragile,Fragile and Conflict-affected Situation,USAID,Asia,Southern Asia,,Central Asia and Southern Asia,Southern Asia,Least developed countries (LDCs),Landlocked developing countries (LLDCs),,,Central Asia (M49) and Southern Asia (MDG=M49),Asia (M49),Southern Asia (MDG=M49),Southern Asia (MDG=M49),Least developed countries (LDCs),Landlocked developing countries (LLDCs),Developing regions (MDG),HAC,HAC,Global Strategy,Conflict,South Asia,,South Asia,,Low income,Low and middle income,South Asia,,Low income,Low and middle income,Asia-Pacific Group,,GAVI,,,,,,ESCAP_ADB Group A (ADB_DMC_A),ESCAP_SAARC (SAARC),ESCAP_ECO (ECO),,ESCAP_LDC (LDC_E),ESCAP_LLDC (LLDC_E),ESCAP_South and South-West Asia (SSWA),ESCAP_All countries,,,South Asia,Humanitarian,Fragile,South Asia,South Asia,LiST,LiSTSBR,LiSTSBR,,,,,,,,,
Albania,Albania,146,ALB,8,ALB,Developed regions,Developed regions,Developed regions,,,,,CEE/CIS,CEE/CIS,,,,,,Europe,Europe and Central Asia,Europe and Central Asia (excluding high-income),Middle income,Upper middle income,Low and middle income,Europe,,More developed regions,More developed regions,,OIC,Asia/other,OIC Lower middle income,OIC Middle income,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Europe,Southern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49),Developed regions (MDG),,,Developed regions,,,,Non conflict,Europe and Central Asia,Eastern Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Eastern European Group,,,,ECE_All countries,,ECE_West Balkans (ST7),,,,,,,,,ESCAP_Europe (Europe),,,Eastern Europe and Central Asia,Non-humanitarian,,Europe and Central Asia,Eastern Europe and Central Asia,LiST,,LiSTSBR,,,,,,,,,
Algeria,Algeria,50,DZA,12,ALG,Northern Africa,Northern Africa,Developing regions,North Africa,,,,Middle East and North Africa,Middle East and North Africa,Africa,Developing countries,,North Africa,,Africa,Middle East and North Africa,Middle East and North Africa (excluding high-income),Middle income,Lower middle income,Low and middle income,Africa,,Less developed regions,Excluding least developed countries,Excluding China,OIC,Arab,OIC Upper middle income,OIC Middle income,Countdown,North Africa,Africa,Northern Africa,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Africa,Northern Africa,,Western Asia and Northern Africa,Northern Africa,,,,,Western Asia (M49) and Northern Africa (M49),Northern Africa (M49),Northern Africa (M49),Northern Africa (MDG),,,Developing regions (MDG),,,,Non conflict,Middle East and North Africa,,Middle East and North Africa,,Lower middle income,Low and middle income,Middle East and North Africa,,Lower middle income,Low and middle income,African Group,,,ECA_North Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,ESCWA_Arab countries,Middle East and North Africa,Non-humanitarian,,Middle East and North Africa,Middle East and North Africa,LiST,,LiSTSBR,,,,,,,,,
Andorra,Andorra,167,AND,20,AND,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Southern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Western European and Others Group (WEOG),,,,ECE_All countries,,,,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Angola,Angola,1,AGO,24,ANG,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,South Africa,Least developed countries,,,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Lower middle income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,,,,,Countdown,Southern Africa,Africa,Southern Africa,Fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,non-FCS,,Africa,Middle Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),,,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),,Developing regions (MDG),HAC,HAC,,Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Lower middle income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Lower middle income,Low and middle income,African Group,Economic Community of Central African States,GAVI,ECA_Southern Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,Eastern and Southern Africa,Non-humanitarian,,Eastern and Southern Africa,Eastern and Southern Africa,LiST,,LiSTSBR,,,,,,,,,
Antigua & Barbuda,Antigua and Barbuda,105,ATG,28,ANT,Latin America and the Caribbean,Latin America and the Caribbean,Developing regions,,,Caribbean,SIDS,Latin America and the Caribbean,Latin America and the Caribbean,,Developing countries,,,Eastern Caribbean Area,Americas,Latin America and the Caribbean,,High income,High income,,Latin America and the Caribbean,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Americas,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,,,Small island developing States (SIDS),,,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49),Latin America and the Caribbean (MDG=M49),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,Latin America and Caribbean,,,,,,,,,,Latin American and Caribbean Group (GRULAC),,,,ECLAC_All countries,,,ECLAC_Carribean,,,,,,,,ESCAP_Latin America (LAC),,,Latin America and Caribbean,Non-humanitarian,,,,,,,,,,,,,,,
Argentina,Argentina,106,ARG,32,ARG,Latin America and the Caribbean,Latin America and the Caribbean,Developing regions,,,Latin America,,Latin America and the Caribbean,Latin America and the Caribbean,,Developing countries,,,,Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Upper middle income,Low and middle income,Latin America and the Caribbean,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,,Non-fragile,non-FCS,,Americas,Latin America and the Caribbean,South America,Latin America and the Caribbean,,,,,,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),South America (M49),Latin America and the Caribbean (MDG=M49),,,Developing regions (MDG),,,,Non conflict,Latin America and Caribbean,,,,,,Latin America and Caribbean,,Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),,,,ECLAC_All countries,,,ECLAC_Latin America,,,,,,,,ESCAP_Latin America (LAC),,,Latin America and Caribbean,Non-humanitarian,,Latin America and the Caribbean,Latin America and Caribbean,LiST,,LiSTSBR,,,,,,,,,
Armenia,Armenia,137,ARM,51,ARM,Caucasus and Central Asia,Caucasus and Central Asia,Developing regions,,,,LLDC,CEE/CIS,CEE/CIS,,Developing countries,,,,Europe,Europe and Central Asia,Europe and Central Asia (excluding high-income),Middle income,Upper middle income,Low and middle income,Asia,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Asia,Western Asia,,Western Asia and Northern Africa,Western Asia,,Landlocked developing countries (LLDCs),,,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49),Caucasus and Central Asia (MDG),,Landlocked developing countries (LLDCs),Developing regions (MDG),,,,Non conflict,Europe and Central Asia,Eastern Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Eastern European Group,,GAVI,,ECE_All countries,"ECE_Eastern Europe, Caucasus and Central Asia (CIS)",ECE_CIS (CWG),,ESCAP_ADB Group C (ADB_DMC_C),,,,,ESCAP_LLDC (LLDC_E),ESCAP_North and Central Asia (NCA),ESCAP_All countries,,,Eastern Europe and Central Asia,Non-humanitarian,,Europe and Central Asia,Eastern Europe and Central Asia,LiST,LiSTSBR,LiSTSBR,,,,,,,,,
Australia,Australia,169,AUS,36,AUS,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Western Pacific,East Asia and Pacific,,High income,High income,,Oceania,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Oceania,Australia and New Zealand,,Oceania,Australia and New Zealand,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Australia and New Zealand (M49),Oceania (M49),Australia and New Zealand (M49),Developed regions (MDG),,,Developed regions,,,,,East Asia and Pacific,,,,,,,,,,Western European and Others Group (WEOG),,,,,,,,,,,,,,ESCAP_PACIFIC (PAC),ESCAP_All countries,,,High Income Countries,Non-humanitarian,,,,,,,,,,,EAPR Countries,EAPR Countries (excluding China),,,
Austria,Austria,168,AUT,40,ATR,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Western Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Western European and Others Group (WEOG),,,,ECE_All countries,ECE_European Union (EMU),ECE_Euro area (E25),,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
