ISO3,WHOname,Group,Group2010,FragileState
AFG,Afghanistan,HMM,HMM,YES
AGO,Angola,HMM,HMM,NO
ALB,Albania,LMM,LMM,NO
AND,Andorra,LMM,LMM,NO
ARE,United Arab Emirates,LMM,LMM,NO
ARG,Argentina,VR,VR,NO
ARM,Armenia,VR,VR,NO
ATG,Antigua and Barbuda,VR,VR,NO
AUS,Australia,VR,VR,NO
AUT,Austria,VR,VR,NO
AZE,Azerbaijan,HMM/LMM,LMM,NO
BDI,Burundi,HMM,HMM,YES
BEL,Belgium,VR,VR,NO
BEN,Benin,HMM,HMM,NO
BFA,Burkina Faso,HMM,HMM,YES
BGD,Bangladesh,HMM,HMM,NO
BGR,Bulgaria,VR,VR,NO
BHR,Bahrain,LMM,LMM,NO
BHS,Bahamas,HMM/LMM,LMM,NO
BIH,Bosnia and Herzegovina,LMM,LMM,NO
BLR,Belarus,LMM,LMM,NO
BLZ,Belize,HMM/LMM,LMM,NO
BOL,Bolivia (Plurinational State of),HMM/LMM,HMM,NO
BRA,Brazil,VR,VR,NO
BRB,Barbados,VR,VR,NO
BRN,Brunei Darussalam,VR,VR,NO
BTN,Bhutan,HMM,HMM,NO
BWA,Botswana,HMM/LMM,HMM,NO
CAF,Central African Republic,HMM,HMM,YES
CAN,Canada,VR,VR,NO
CHE,Switzerland,VR,VR,NO
CHL,Chile,VR,VR,NO
CHN,China,China DSP,China DSP,NO
CIV,Côte d'Ivoire,HMM,HMM,NO
CMR,Cameroon,HMM,HMM,YES
COD,Democratic Republic of the Congo,HMM,HMM,YES
COG,Congo,HMM,HMM,YES
COK,Cook Islands,HMM/LMM,LMM,NO
COL,Colombia,VR,VR,NO
COM,Comoros,HMM,HMM,YES
CPV,Cabo Verde,HMM/LMM,LMM,NO
CRI,Costa Rica,VR,VR,NO
CUB,Cuba,VR,VR,NO
CYP,Cyprus,VR,VR,NO
CZE,Czechia,VR,VR,NO
DEU,Germany,VR,VR,NO
DJI,Djibouti,HMM,HMM,NO
DMA,Dominica,LMM,LMM,NO
DNK,Denmark,VR,VR,NO
DOM,Dominican Republic,HMM/LMM,LMM,NO
DZA,Algeria,HMM/LMM,LMM,NO
ECU,Ecuador,VR,VR,NO
EGY,Egypt,HMM/LMM,LMM,NO
ERI,Eritrea,HMM,HMM,YES
ESP,Spain,VR,VR,NO
EST,Estonia,VR,VR,NO
ETH,Ethiopia,HMM,HMM,NO
FIN,Finland,VR,VR,NO
FJI,Fiji,HMM/LMM,HMM,NO
FRA,France,VR,VR,NO
FSM,Micronesia (Federated States of),HMM,HMM,YES
GAB,Gabon,HMM,HMM,NO
GBR,United Kingdom of Great Britain and Northern Ireland,VR,VR,NO
GEO,Georgia,LMM,LMM,NO
GHA,Ghana,HMM,HMM,NO
GIN,Guinea,HMM,HMM,NO
GMB,Gambia,HMM,HMM,YES
GNB,Guinea-Bissau,HMM,HMM,YES
GNQ,Equatorial Guinea,HMM,HMM,NO
GRC,Greece,VR,VR,NO
GRD,Grenada,VR,VR,NO
GTM,Guatemala,HMM/LMM,HMM,NO
GUY,Guyana,VR,VR,NO
HND,Honduras,HMM/LMM,LMM,NO
HRV,Croatia,VR,VR,NO
HTI,Haiti,HMM,HMM,YES
HUN,Hungary,VR,VR,NO
IDN,Indonesia,HMM/LMM,HMM,NO
IND,India,HMM/LMM,HMM,NO
IRL,Ireland,VR,VR,NO
IRN,Iran (Islamic Republic of),HMM/LMM,HMM,NO
IRQ,Iraq,HMM/LMM,LMM,YES
ISL,Iceland,VR,VR,NO
ISR,Israel,VR,VR,NO
ITA,Italy,VR,VR,NO
JAM,Jamaica,HMM/LMM,LMM,NO
JOR,Jordan,HMM/LMM,LMM,NO
JPN,Japan,VR,VR,NO
KAZ,Kazakhstan,HMM/LMM,LMM,NO
KEN,Kenya,HMM,HMM,NO
KGZ,Kyrgyzstan,HMM/LMM,LMM,NO
KHM,Cambodia,HMM/LMM,HMM,NO
KIR,Kiribati,HMM,HMM,YES
KNA,Saint Kitts and Nevis,HMM/LMM,LMM,NO
KOR,Republic of Korea,VR,VR,NO
KWT,Kuwait,LMM,LMM,NO
LAO,Lao People's Democratic Republic,HMM,HMM,YES
LBN,Lebanon,LMM,LMM,YES
LBR,Liberia,HMM,HMM,YES
LBY,Libya,HMM/LMM,LMM,YES
LCA,Saint Lucia,VR,VR,NO
LKA,Sri Lanka,HMM/LMM,LMM,NO
LSO,Lesotho,HMM,HMM,NO
LTU,Lithuania,VR,VR,NO
LUX,Luxembourg,VR,VR,NO
LVA,Latvia,VR,VR,NO
MAR,Morocco,HMM/LMM,LMM,NO
MCO,Monaco,LMM,LMM,NO
MDA,Republic of Moldova,VR,VR,NO
MDG,Madagascar,HMM,HMM,NO
MDV,Maldives,LMM,LMM,NO
MEX,Mexico,VR,VR,NO
MHL,Marshall Islands,HMM,HMM,YES
MKD,Republic of North Macedonia,VR,VR,NO
MLI,Mali,HMM,HMM,YES
MLT,Malta,VR,VR,NO
MMR,Myanmar,HMM/LMM,HMM,YES
MNE,Montenegro,LMM,LMM,NO
MNG,Mongolia,HMM/LMM,HMM,NO
MOZ,Mozambique,HMM,HMM,YES
MRT,Mauritania,HMM,HMM,NO
MUS,Mauritius,VR,VR,NO
MWI,Malawi,HMM,HMM,NO
MYS,Malaysia,LMM,LMM,NO
NAM,Namibia,HMM,HMM,NO
NER,Niger,HMM,HMM,YES
