"Region","Year","Population age 15 to 24","Population age 15 to 19","Population coverage (age 15 to 24)","Population coverage (age 15 to 19)","X10q15","X5q15","X5q20","Deaths.age.15to24.median","Deaths.age.15to19.median","Deaths.age.20to24.median"
"South Asia",1990,105595954,56228890,100,100,27.3098137964715,11.888684252618,15.6066723435804,289803,134498,155305
"Sub-Saharan Africa",1990,49745167,26773099,100,100,39.8592798590337,17.8682156352699,22.3911541952471,200598,96571,104027
"Europe and Central Asia",1990,62896470,31312729,100,100,5.28588527037843,2.55934301180066,2.7335383207765,33335,16048,17287
"Middle East and North Africa",1990,23868093,12771354,100,100,10.3149413645627,5.1245058100837,5.21717097746523,24741,13123,11618
"Latin America and Caribbean",1990,43268064,22679369,100,100,8.83516086114988,3.88474375642685,4.96972320591842,38161,17654,20507
"East Asia and Pacific",1990,184948691,92483021,100,100,7.02574350480789,3.89823910800994,3.13974386913787,130391,72242,58149
"North America",1990,20063759,9518201,100,100,4.7879579172484,2.25366130760525,2.54002095659349,9657,4294,5363
"Eastern and Southern Africa",1990,27043439,14379351,100,100,41.3929639132805,18.1308552327066,23.6916587149575,113360,52639,60721
"Eastern Europe and Central Asia",1990,30092427,15539770,100,100,7.16864594278177,3.51574005107555,3.66579387003404,21632,10945,10687
"Western Europe",1990,32804043,15772959,99.99,99.99,3.54919437668866,1.61612593390507,1.93619758190892,11703,5102,6601
"West and Central Africa",1990,22701728,12393748,100,100,37.9892962770853,17.5634112886576,20.7910466926117,87238,43933,43305
"World",1990,490386198,251766663,100,100,14.7295042432991,7.01366972249841,7.77033307059161,726677,354424,372253
"South Asia",1991,107909420,57413489,100,100,26.9777682839055,11.7758156680154,15.3831011797857,292572,136020,156552
"Sub-Saharan Africa",1991,51120816,27481174,100,100,39.9150291024758,17.8054487753168,22.510387885568,206385,98746,107639
"Europe and Central Asia",1991,62760951,31275791,100,100,5.40369570235444,2.60525442631801,2.8057509711733,34010,16317,17693
"Middle East and North Africa",1991,24621681,13151975,100,100,8.65614882874421,4.28823917024241,4.38672096718215,21391,11304,10087
"Latin America and Caribbean",1991,43924297,23033812,100,100,8.43842411905138,3.74160670775681,4.71445705543666,37013,17268,19745
"East Asia and Pacific",1991,183224434,89348948,100,100,6.89712908898588,3.79785560011894,3.11108895547892,126492,67996,58496
"North America",1991,19884520,9354637,100,100,4.77625848110574,2.24289237763089,2.53906094391227,9554,4200,5354
"Eastern and Southern Africa",1991,27683413,14658377,100,100,42.1040351805414,18.3873727288016,24.1609182612801,118119,54410,63709
"Eastern Europe and Central Asia",1991,30396303,15767415,100,100,7.41151901322568,3.58072246900184,3.84456285682882,22583,11312,11271
"Western Europe",1991,32364648,15508376,99.99,99.99,3.51264240362759,1.61244964477622,1.90326167245904,11427,5004,6423
"West and Central Africa",1991,23437403,12822797,100,100,37.2700318379878,17.1398037535768,20.4812730857236,88266,44336,43930
"World",1991,493446119,251059826,100,100,14.6465599200825,6.9828174124231,7.71763333207322,727418,351849,375569
"South Asia",1992,110200175,58540922,100,100,25.5466452030935,10.9744641208243,14.7338774921676,282563,129201,153362
"Sub-Saharan Africa",1992,52520121,28238151,100,100,40.2803230278904,17.8098182644638,22.8779570202189,213865,101482,112383
"Europe and Central Asia",1992,62661873,31174243,100,100,5.62407887582128,2.69979106612467,2.93220414826018,35333,16860,18473
"Middle East and North Africa",1992,25386806,13590465,100,100,8.27787250869361,4.09117936515309,4.20389201982525,21084,11144,9940
"Latin America and Caribbean",1992,44551181,23352068,100,100,8.10641303153414,3.63310872347683,4.48961556954814,36076,17000,19076
"East Asia and Pacific",1992,181157295,86050336,100,100,6.79758814487186,3.71023098339587,3.09885462792963,122998,63969,59029
"North America",1992,19786413,9285875,100,100,4.71902759296239,2.203608119196,2.52097471411476,9396,4096,5300
"Eastern and Southern Africa",1992,28269716,14948232,100,100,43.3246222598588,18.7961610066289,24.9983339633015,124163,56725,67438
"Eastern Europe and Central Asia",1992,30699909,15929358,100,100,7.86967088449564,3.76486572913563,4.12031759787747,24201,12022,12179
"Western Europe",1992,31961964,15244885,99.99,99.99,3.46380177704364,1.58560794988037,1.88117663579216,11132,4837,6295
"West and Central Africa",1992,24250405,13289919,100,100,36.6550121148829,16.699225679738,20.2946920782606,89701,44757,44944
"World",1992,496263864,250232060,100,100,14.4372671983665,6.84520285430779,7.64439175632861,721305,343755,377550
"South Asia",1993,112528048,59684840,100,100,24.78509658707,10.6365484309931,14.3006577953118,279880,127649,152231
"Sub-Saharan Africa",1993,54045395,29140301,100,100,40.9571080028787,17.9515012569962,23.4261411481502,223620,105564,118056
"Europe and Central Asia",1993,62449645,31077371,100,100,5.73520990612486,2.71926491540265,3.02416850603896,35910,16930,18980
"Middle East and North Africa",1993,26131821,14049772,100,100,7.97399358426554,3.93678358104098,4.05316644232593,20907,11089,9818
"Latin America and Caribbean",1993,45202622,23670888,100,100,7.90758503552047,3.56721406822526,4.35590942868908,35717,16919,18798
"East Asia and Pacific",1993,178006669,82744444,100,100,6.71362763612071,3.63110203681421,3.09375935520259,119226,60200,59026
"North America",1993,19792689,9388335,100,100,4.69586353649243,2.19977874534941,2.50158773066252,9344,4134,5210
"Eastern and Southern Africa",1993,28954742,15368896,100,100,45.1751591326927,19.4643168205853,26.2212204544551,132591,60411,72180
"Eastern Europe and Central Asia",1993,30913468,16052257,100,100,8.12278723534188,3.80684553835371,4.33243460633948,25134,12251,12883
"Western Europe",1993,31536177,15025114,99.99,99.99,3.39815298752832,1.55594955504465,1.84507427498082,10776,4678,6098
"West and Central Africa",1993,25090653,13771405,100,100,35.9951643333087,16.2604670927478,20.0608967927097,91029,45154,45875
"World",1993,498156889,249755951,100,100,14.4434431764707,6.83285588121573,7.6629471084726,724593,342490,382103
"South Asia",1994,115086390,60922525,100,100,24.0189647970021,10.3298855203284,13.8319618592008,277405,126521,150884
"Sub-Saharan Africa",1994,55605861,30125037,100,100,50.4003631514366,21.7573589386677,29.2800610099076,282350,132534,149816
"Europe and Central Asia",1994,62344803,31046867,100,100,5.66878599552634,2.66442995658198,3.01238232064018,35442,16566,18876
"Middle East and North Africa",1994,26798639,14513093,100,100,7.73385777562496,3.81580549480805,3.93306007305508,20790,11103,9687
"Latin America and Caribbean",1994,45864751,23999090,100,100,7.68667318534622,3.49609408715028,4.20528115678296,35238,16808,18430
"East Asia and Pacific",1994,174344843,80348502,100,100,6.64645437043743,3.54789942829777,3.10958744566036,115650,57113,58537
