"Region","Year","Population age 15 to 24","Population age 15 to 19","Population coverage (age 15 to 24)","Population coverage (age 15 to 19)","X10q15","X5q15","X5q20","Deaths.age.15to24.median","Deaths.age.15to19.median","Deaths.age.20to24.median"
"South Asia",1990,113090227,60167709,100,100,22.4398491322982,9.66887214139716,12.8956635125827,254298,116917,137381
"Sub-Saharan Africa",1990,49606632,26951413,100,100,42.3059460259274,17.3421967590541,25.4043159119475,210906,94328,116578
"Europe and Central Asia",1990,65298855,32526983,100,100,13.8555570052806,5.71627175105627,8.1860791069754,91156,37291,53865
"Middle East and North Africa",1990,25546010,13632837,100,100,18.6686658489453,8.41463278345315,10.3410491970812,47825,23041,24784
"Latin America and Caribbean",1990,43313276,22884268,100,100,20.6506018621793,8.1172796435369,12.6358912817214,89239,37300,51939
"East Asia and Pacific",1990,192838394,96765310,100,100,12.9650887021233,6.80016469362092,6.20713353884181,251674,132047,119627
"North America",1990,20982637,10062148,100,100,14.2524274979974,6.14129962819798,8.16124854243877,30290,12395,17895
"Eastern and Southern Africa",1990,26783725,14412520,100,100,44.6065764665534,17.7627466446426,27.3292727701086,120231,51679,68552
"Eastern Europe and Central Asia",1990,31129374,16028884,100,100,17.5843795880776,7.21951464522121,10.4402383968621,54915,23225,31690
"Western Europe",1990,34169481,16498099,99.99,99.99,10.4825753897504,4.25351506262714,6.25566890905473,36239,14066,22173
"West and Central Africa",1990,22822907,12538893,100,100,39.5531230820436,16.8585856193501,23.083695926888,90675,42648,48027
"World",1990,510676031,262990668,100,100,18.9756526451734,8.58119578993054,10.4844257654814,975400,453326,522074
"South Asia",1991,115595619,61475747,100,100,22.1678341021571,9.64424510802968,12.6455457367373,256891,119152,137739
"Sub-Saharan Africa",1991,51034739,27684457,100,100,39.6416532528882,16.6068108629319,23.4238376311812,203410,92724,110686
"Europe and Central Asia",1991,65081416,32396526,100,100,14.2991344630083,5.86105402391075,8.48782805789052,93809,38083,55726
"Middle East and North Africa",1991,26302404,13999980,100,100,16.1249381446126,7.44965823265158,8.74039285152403,42542,20937,21605
"Latin America and Caribbean",1991,44017312,23269467,100,100,20.2508259085985,7.9691619371972,12.3803247844436,88929,37235,51694
"East Asia and Pacific",1991,191129605,93517048,100,100,12.7774636695858,6.65421653048238,6.16426549646833,245575,124871,120704
"North America",1991,20840259,9909545,100,100,14.0314575439903,6.06708604562664,8.0129869798529,29644,12060,17584
"Eastern and Southern Africa",1991,27430248,14694947,100,100,42.4246726402326,17.2096567837581,25.6565563861331,117219,51022,66197
"Eastern Europe and Central Asia",1991,31382334,16195458,100,100,18.4865211059203,7.51420867010686,11.0553849049173,58200,24430,33770
"Western Europe",1991,33699082,16201068,99.99,99.99,10.4331724576773,4.20562568268269,6.25384811926051,35607,13653,21954
"West and Central Africa",1991,23604491,12989510,100,100,36.3325914889829,15.9243731653959,20.7384653852596,86191,41702,44489
"World",1991,514001354,262252770,100,100,18.5546256254459,8.44958441464867,10.1911522116924,960802,445065,515737
"South Asia",1992,118075359,62725122,100,100,20.9981022091967,9.15272204114946,11.9547991214638,248489,115350,133139
