iso3,g.whoregion,year,sex,age_group,mort.nh.nr.num,mort.nh.nr.lo.num,mort.nh.nr.hi.num,mort.nh.re.num,mort.nh.re.lo.num,mort.nh.re.hi.num
GMB,AFR,2000,F,0_4,1.38821187179276,0,19.9780887394496,13.0648279695018,3.07578359977695,23.0538723392266
GMB,AFR,2000,F,10_14,0.113779430122354,0,5.71949833524291,0.999494786407161,0,5.71949833524291
GMB,AFR,2000,F,15_19,0.536316469067416,0,12.4175703038544,6.27991108943148,0.0711259375042879,12.4886962413587
GMB,AFR,2000,F,20_24,0.832631402814948,0,15.4722136567371,10.4313202389485,2.69521341057991,18.1674270673171
GMB,AFR,2000,F,5_9,0.438126992900264,0,11.2234419902433,3.85284256013097,0,11.2234419902433
GMB,AFR,2000,M,0_4,1.73780694979761,0,22.3525371661051,15.6558013335354,4.47953275048287,26.832069916588
GMB,AFR,2000,M,10_14,0.132657948765745,0,6.17579255567984,0.979921062558172,0,6.17579255567984
GMB,AFR,2000,M,15_19,1.67661138093664,0,21.9554461013052,16.9622110497517,5.98448799909903,27.9399341004043
GMB,AFR,2000,M,20_24,2.3754002609099,0,26.1333124386664,28.4256246046572,15.3589683853241,41.4922808239904
GMB,AFR,2000,M,5_9,0.488975322887127,0,11.8568556295839,3.79931465279826,0,11.8568556295839
GMB,AFR,2001,F,0_4,1.36924830050959,0,18.8064182257795,12.8863567998441,3.48314768695442,22.2895659127339
GMB,AFR,2001,F,10_14,0.112225154166698,0,5.38406246648751,0.985841257710639,0,5.38406246648751
GMB,AFR,2001,F,15_19,0.528990155413027,0,11.6893073971168,6.19412480276212,0.349471104203706,12.0387785013205
GMB,AFR,2001,F,20_24,0.821257299711004,0,14.5648027047071,10.2888239176447,3.00642256529117,17.5712252699983
GMB,AFR,2001,F,5_9,0.432141989724764,0,10.5652120557707,3.8002110735306,0,10.5652120557707
GMB,AFR,2001,M,0_4,1.71406775937682,0,21.0416105281867,15.4419363532659,4.9211310891725,25.9627416173592
GMB,AFR,2001,M,10_14,0.130845784125163,0,5.81359604477211,0.966534919348714,0,5.81359604477211
GMB,AFR,2001,M,15_19,1.65370814830867,0,20.6678079720093,16.7304999508305,6.39659596482585,27.0644039368351
GMB,AFR,2001,M,20_24,2.34295127160997,0,24.6006517318165,28.0373183458004,15.7369924798921,40.3376442117086
GMB,AFR,2001,M,5_9,0.482295709652507,0,11.161477392596,3.74741438043612,0,11.161477392596
GMB,AFR,2002,F,0_4,1.32476771640867,0,17.5053660807661,12.4677382942366,3.71505525385354,21.2204213346197
GMB,AFR,2002,F,10_14,0.108579474704257,0,5.01158611629623,0.953815806260005,0,5.01158611629623
GMB,AFR,2002,F,15_19,0.511805696547788,0,10.8806261118154,5.99290615665787,0.552593100750146,11.4332192125656
GMB,AFR,2002,F,20_24,0.794578424612389,0,13.5571909642281,9.95458731689192,3.17599183477788,16.733182799006
GMB,AFR,2002,F,5_9,0.418103682640259,0,9.83429712860833,3.67675968185306,0,9.83429712860833
GMB,AFR,2002,M,0_4,1.65838557587712,0,19.5859249115229,14.9402988136342,5.14733635787276,24.7332612693956
GMB,AFR,2002,M,10_14,0.126595205977384,0,5.41140401046313,0.93513664209787,0,5.41140401046313
GMB,AFR,2002,M,15_19,1.59998677115462,0,19.2379824958404,16.1870029022643,6.56801165434413,25.8059941501845
GMB,AFR,2002,M,20_24,2.26683955320038,0,22.8987470777696,27.1265147347042,15.6771411958194,38.575888273589
GMB,AFR,2002,M,5_9,0.466628138718349,0,10.389312064312,3.62567811065909,0,10.389312064312
GMB,AFR,2003,F,0_4,1.34483198632223,0,17.6759588155196,12.6565684289369,3.81858902117703,21.4945478366967
GMB,AFR,2003,F,10_14,0.110223965176477,0,5.06042486534535,0.968261823887636,0,5.06042486534535
GMB,AFR,2003,F,15_19,0.51955724990438,0,10.9866596420873,6.08367171895169,0.590341897908035,11.5770015399953
GMB,AFR,2003,F,20_24,0.806612712421073,0,13.6893080688629,10.1053545225851,3.26070048815367,16.9500085570165
GMB,AFR,2003,F,5_9,0.424436072112347,0,9.9301340070722,3.73244604690176,0,9.93013400707219
GMB,AFR,2003,M,0_4,1.68350265519829,0,19.7767930417818,15.1665771145465,5.27818059365567,25.0549736354374
GMB,AFR,2003,M,10_14,0.12851255371392,0,5.46413905209218,0.949299754438132,0,5.46413905209218
GMB,AFR,2003,M,15_19,1.62421937135838,0,19.4254598687764,16.4321631603876,6.71943322599941,26.1448930947758
GMB,AFR,2003,M,20_24,2.30117197244853,0,23.1218992168567,27.5373593731158,15.9764097646875,39.0983089815442
GMB,AFR,2003,M,5_9,0.473695455356989,0,10.490557656611,3.68059081975335,0,10.490557656611
GMB,AFR,2004,F,0_4,1.20114362972275,0,15.4085344852306,11.3042794172546,3.6000121746393,19.0085466598699
GMB,AFR,2004,F,10_14,0.0984471034010529,0,4.41128721001153,0.864808045541159,0,4.41128721001153
GMB,AFR,2004,F,15_19,0.46404523936523,0,9.57732057080587,5.43366279572586,0.645002510322923,10.2223230811288
GMB,AFR,2004,F,20_24,0.720430307303694,0,11.9332805455973,9.02564954909352,3.05900927629488,14.9922898218922
GMB,AFR,2004,F,5_9,0.379087268467259,0,8.65632319512932,3.33365345124204,0,8.65632319512932
GMB,AFR,2004,M,0_4,1.50362908562486,0,17.2398793622446,13.5461066298346,4.92616694871232,22.166046310957
GMB,AFR,2004,M,10_14,0.114781650646947,0,4.76321402957413,0.847871975342589,0,4.76321402957413
GMB,AFR,2004,M,15_19,1.45067991468189,0,16.9336142612361,14.6764713388063,6.20966420818828,23.1432784694244
GMB,AFR,2004,M,20_24,2.05530362433007,0,20.1558843378924,24.5951346539807,14.5171924850345,34.6730768229269
GMB,AFR,2004,M,5_9,0.423083540856779,0,9.14485721019368,3.28733868747182,0,9.14485721019368
GMB,AFR,2005,F,0_4,1.41761919596984,0,19.2038829467504,13.3415880514511,3.73964657807592,22.9435295248263
GMB,AFR,2005,F,10_14,0.116189687990248,0,5.49785207066633,1.02066768356583,0,5.49785207066633
GMB,AFR,2005,F,15_19,0.547677582300805,0,11.9363553595284,6.41294221022423,0.444764530460017,12.3811198899884
GMB,AFR,2005,F,20_24,0.850269532901658,0,14.872622895321,10.6522931481145,3.215981700454,18.088604595775
GMB,AFR,2005,F,5_9,0.447408099605041,0,10.7885027968003,3.93445963348002,0,10.7885027968003
GMB,AFR,2005,M,0_4,1.77461995606003,0,21.4863149773253,15.9874475572872,5.24429006862451,26.7306050459498
GMB,AFR,2005,M,10_14,0.135468121609882,0,5.93646363720955,1.00067931779202,0,5.93646363720955
GMB,AFR,2005,M,15_19,1.71212804478314,0,21.1046122815835,17.3215317335855,6.76922559279376,27.8738378743773
GMB,AFR,2005,M,20_24,2.42571978845629,0,25.1205748271609,29.027781649007,16.4674942354266,41.5880690625875
GMB,AFR,2005,M,5_9,0.499333580244604,0,11.397369918446,3.87979781240155,0,11.397369918446
GMB,AFR,2006,F,0_4,1.75441641081366,0,28.4047597802648,16.5112754469859,2.30889555685353,30.7136553371183
GMB,AFR,2006,F,10_14,0.143793972286014,0,8.13195788621143,1.26315736913781,0,8.13195788621143
GMB,AFR,2006,F,15_19,0.677794531108848,0,17.6552475131938,7.93652561076595,0,17.6552475131938
