"ISO3","Year","AgeLow","AgeUp","Sex","Deaths1","Rate1","Deaths2","Rate2"
"AFG",2000,15,19,"F",1717,8.65560857386439,1717,8.65560857386439
"AFG",2001,15,19,"F",1572,8.03000178829438,1572,8.03000178829438
"AFG",2002,15,19,"F",1530,7.57062770539349,1530,7.57062770539349
"AFG",2003,15,19,"F",1620,7.20371503965228,1620,7.20371503965228
"AFG",2004,15,19,"F",1668,6.95834979297841,1668,6.95834979297841
"AFG",2005,15,19,"F",1715,6.88823668040005,1715,6.88823668040005
"AFG",2006,15,19,"F",1828,6.92750466367176,1828,6.92750466367176
"AFG",2007,15,19,"F",1971,7.11251243046286,1971,7.11251243046286
"AFG",2008,15,19,"F",2125,7.57339301190208,2125,7.57339301190208
"AFG",2009,15,19,"F",2500,8.35522130034046,2500,8.35522130034046
"AFG",2010,15,19,"F",2983,9.4728347635419,2983,9.4728347635419
"AFG",2011,15,19,"F",3579,10.8489523228171,3579,10.8489523228171
"AFG",2012,15,19,"F",4392,12.5312704030121,4392,12.5312704030121
"AFG",2013,15,19,"F",5182,14.1539057149293,5182,14.1539057149293
"AFG",2014,15,19,"F",5979,15.7292523713645,5979,15.7292523713645
"AFG",2015,15,19,"F",6734,17.029676091671,6734,17.029676091671
"AFG",2016,15,19,"F",7135,17.6475942783135,7135,17.6475942783135
"AFG",2017,15,19,"F",7336,17.6543887207591,7336,17.6543887207591
"AFG",2018,15,19,"F",7490,17.5261456211094,7490,17.5261456211094
"AFG",2019,15,19,"F",7449,16.9795079484386,7449,16.9795079484386
"AFG",2020,15,19,"F",7357,16.3566349882768,7357,16.3566349882768
"AFG",2021,15,19,"F",7357,15.9036846554607,7357,15.9036846554607
"AGO",2000,15,19,"F",4712,27.1950364529803,4712,27.1950364529803
"AGO",2001,15,19,"F",4743,26.2790821298385,4743,26.2790821298385
"AGO",2002,15,19,"F",4718,25.1315126942109,4718,25.1315126942109
"AGO",2003,15,19,"F",4655,23.8631839105072,4655,23.8631839105072
"AGO",2004,15,19,"F",4577,22.6252772639648,4577,22.6252772639648
"AGO",2005,15,19,"F",4452,21.2596671446927,4452,21.2596671446927
"AGO",2006,15,19,"F",4298,19.8679329004642,4298,19.8679329004642
"AGO",2007,15,19,"F",4157,18.6285457408579,4157,18.6285457408579
"AGO",2008,15,19,"F",3983,17.327125267316,3983,17.327125267316
"AGO",2009,15,19,"F",3812,16.1106187251647,3812,16.1106187251647
"AGO",2010,15,19,"F",3663,15.041127292541,3663,15.041127292541
"AGO",2011,15,19,"F",3514,14.0085824770297,3514,14.0085824770297
