"Original","Reclass","Level2","Level3","Level4"
"dia","Diarrhoeal","OtherCD","Other","Undetermined"
"hiv","HIV","OtherCD","Other","Undetermined"
"lri","LRI","OtherCD","Other","Undetermined"
"mal","Malaria","OtherCD","Other","Undetermined"
"mening","OtherCD","OtherCD","Other","Undetermined"
"tb","TB","OtherCD","Other","Undetermined"
"maternal","OtherCD","OtherCD","Other","Undetermined"
"typhoid","OtherCD","OtherCD","Other","Undetermined"
"othercd","OtherCD","OtherCD","Other","Undetermined"
"mea","Measles","OtherCD","Other","Undetermined"
"cardio","OtherNCD","OtherNCD","Other","Undetermined"
"congen","Congenital","OtherNCD","Other","Undetermined"
"digest","Digestive","OtherNCD","Other","Undetermined"
"endo","OtherNCD","OtherNCD","Other","Undetermined"
"neoplasm","Neoplasms","OtherNCD","Other","Undetermined"
"otherncd","OtherNCD","OtherNCD","Other","Undetermined"
"rta","RTI","OtherInj","Other","Undetermined"
"drown","Drowning","OtherInj","Other","Undetermined"
"colvio","CollectVio","OtherInj","Other","Undetermined"
"intvio","OtherInj","OtherInj","Other","Undetermined"
"selfharm","OtherInj","OtherInj","Other","Undetermined"
"otherinj","OtherInj","OtherInj","Other","Undetermined"
"other","Other","Other","Other","Undetermined"
"undt","Undetermined","Undetermined","Undetermined","Undetermined"
"natdis","NatDis","OtherInj","Other","Undetermined"
