"ISO3","WHOname","SDGregion","UNICEFReportRegion1","UNICEFReportRegion2"
"AFG","Afghanistan","Central and Southern Asia","South Asia",""
"AGO","Angola","Sub-Saharan Africa","Sub-Saharan Africa","Eastern and Southern Africa"
"ALB","Albania","Northern America and Europe","Europe and central Asia","Eastern Europe and central Asia"
"AND","Andorra","Northern America and Europe","Europe and central Asia","Western Europe"
"ARE","United Arab Emirates","Western Asia and Northern Africa","Middle East and North Africa",""
"ARG","Argentina","Latin America and the Caribbean","Latin America and Caribbean",""
"ARM","Armenia","Western Asia and Northern Africa","Europe and central Asia","Eastern Europe and central Asia"
"ATG","Antigua and Barbuda","Latin America and the Caribbean","Latin America and Caribbean",""
"AUS","Australia","Australia and New Zealand","East Asia and Pacific",""
"AUT","Austria","Northern America and Europe","Europe and central Asia","Western Europe"
"AZE","Azerbaijan","Western Asia and Northern Africa","Europe and central Asia","Eastern Europe and central Asia"
"BDI","Burundi","Sub-Saharan Africa","Sub-Saharan Africa","Eastern and Southern Africa"
"BEL","Belgium","Northern America and Europe","Europe and central Asia","Western Europe"
"BEN","Benin","Sub-Saharan Africa","Sub-Saharan Africa","West and central Africa"
"BFA","Burkina Faso","Sub-Saharan Africa","Sub-Saharan Africa","West and central Africa"
"BGD","Bangladesh","Central and Southern Asia","South Asia",""
"BGR","Bulgaria","Northern America and Europe","Europe and central Asia","Eastern Europe and central Asia"
"BHR","Bahrain","Western Asia and Northern Africa","Middle East and North Africa",""
"BHS","Bahamas","Latin America and the Caribbean","Latin America and Caribbean",""
"BIH","Bosnia and Herzegovina","Northern America and Europe","Europe and central Asia","Eastern Europe and central Asia"
"BLR","Belarus","Northern America and Europe","Europe and central Asia","Eastern Europe and central Asia"
"BLZ","Belize","Latin America and the Caribbean","Latin America and Caribbean",""
"BOL","Bolivia (Plurinational State of)","Latin America and the Caribbean","Latin America and Caribbean",""
"BRA","Brazil","Latin America and the Caribbean","Latin America and Caribbean",""
"BRB","Barbados","Latin America and the Caribbean","Latin America and Caribbean",""
"BRN","Brunei Darussalam","Eastern and South-eastern Asia","East Asia and Pacific",""
"BTN","Bhutan","Central and Southern Asia","South Asia",""
"BWA","Botswana","Sub-Saharan Africa","Sub-Saharan Africa","Eastern and Southern Africa"
"CAF","Central African Republic","Sub-Saharan Africa","Sub-Saharan Africa","West and central Africa"
"CAN","Canada","Northern America and Europe","North America",""
"CHE","Switzerland","Northern America and Europe","Europe and central Asia","Western Europe"
"CHL","Chile","Latin America and the Caribbean","Latin America and Caribbean",""
"CHN","China","Eastern and South-eastern Asia","East Asia and Pacific",""
"CIV","Côte d'Ivoire","Sub-Saharan Africa","Sub-Saharan Africa","West and central Africa"
"CMR","Cameroon","Sub-Saharan Africa","Sub-Saharan Africa","West and central Africa"
"COD","Democratic Republic of the Congo","Sub-Saharan Africa","Sub-Saharan Africa","West and central Africa"
"COG","Congo","Sub-Saharan Africa","Sub-Saharan Africa","West and central Africa"
"COK","Cook Islands","Oceania","East Asia and Pacific",""
"COL","Colombia","Latin America and the Caribbean","Latin America and Caribbean",""
"COM","Comoros","Sub-Saharan Africa","Sub-Saharan Africa","Eastern and Southern Africa"
"CPV","Cabo Verde","Sub-Saharan Africa","Sub-Saharan Africa","West and central Africa"
"CRI","Costa Rica","Latin America and the Caribbean","Latin America and Caribbean",""
"CUB","Cuba","Latin America and the Caribbean","Latin America and Caribbean",""
"CYP","Cyprus","Western Asia and Northern Africa","Europe and central Asia","Western Europe"
"CZE","Czechia","Northern America and Europe","Europe and central Asia","Western Europe"
"DEU","Germany","Northern America and Europe","Europe and central Asia","Western Europe"
"DJI","Djibouti","Sub-Saharan Africa","Sub-Saharan Africa","Eastern and Southern Africa"
"DMA","Dominica","Latin America and the Caribbean","Latin America and Caribbean",""
"DNK","Denmark","Northern America and Europe","Europe and central Asia","Western Europe"
"DOM","Dominican Republic","Latin America and the Caribbean","Latin America and Caribbean",""
"DZA","Algeria","Western Asia and Northern Africa","Middle East and North Africa",""
"ECU","Ecuador","Latin America and the Caribbean","Latin America and Caribbean",""
"EGY","Egypt","Western Asia and Northern Africa","Middle East and North Africa",""
"ERI","Eritrea","Sub-Saharan Africa","Sub-Saharan Africa","Eastern and Southern Africa"
"ESP","Spain","Northern America and Europe","Europe and central Asia","Western Europe"
"EST","Estonia","Northern America and Europe","Europe and central Asia","Western Europe"
"ETH","Ethiopia","Sub-Saharan Africa","Sub-Saharan Africa","Eastern and Southern Africa"
"FIN","Finland","Northern America and Europe","Europe and central Asia","Western Europe"
"FJI","Fiji","Oceania","East Asia and Pacific",""
"FRA","France","Northern America and Europe","Europe and central Asia","Western Europe"
"FSM","Micronesia (Federated States of)","Oceania","East Asia and Pacific",""
"GAB","Gabon","Sub-Saharan Africa","Sub-Saharan Africa","West and central Africa"
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern America and Europe","Europe and central Asia","Western Europe"
"GEO","Georgia","Western Asia and Northern Africa","Europe and central Asia","Eastern Europe and central Asia"
"GHA","Ghana","Sub-Saharan Africa","Sub-Saharan Africa","West and central Africa"
"GIN","Guinea","Sub-Saharan Africa","Sub-Saharan Africa","West and central Africa"
"GMB","Gambia","Sub-Saharan Africa","Sub-Saharan Africa","West and central Africa"
