"ISO3","Year","Sex","Deaths","Rate","Diarrhoeal","HIV","LRI","Malaria","OtherCMPN","TB","OtherNCD","Digestive","Neoplasms","RTI","Drowning","CollectVio","OtherInj","NatDis"
"AFG",2000,"Both",2067,4.05787,0.20337,3e-05,0.07793,0.0035,0.27268,0.05811,0.04716,0.02098,0.04731,0.0288,0.02763,0.03357,0.17893,0
"AFG",2001,"Both",2009,3.95016,0.18987,4e-05,0.07708,0.00331,0.27131,0.0571,0.04513,0.01986,0.0499,0.02883,0.02761,0.03839,0.19137,0.00021
"AFG",2002,"Both",2040,3.85844,0.16868,5e-05,0.0758,0.00422,0.26293,0.05149,0.04266,0.01825,0.0508,0.02796,0.02723,0.00877,0.19689,0.06427
"AFG",2003,"Both",2256,3.8205,0.16691,6e-05,0.08303,0.00436,0.28555,0.05338,0.04584,0.01884,0.0569,0.03021,0.03041,0,0.22187,0.00265
"AFG",2004,"Both",2418,3.83483,0.15427,7e-05,0.0881,0.00172,0.29277,0.04615,0.04668,0.01821,0.05839,0.03032,0.03198,0.0024,0.22858,0.00035
"AFG",2005,"Both",2561,3.90912,0.14402,8e-05,0.0905,0.00087,0.296,0.04079,0.04663,0.0174,0.0574,0.02969,0.03276,0.00505,0.22485,0.01395
"AFG",2006,"Both",2770,4.0283,0.14074,9e-05,0.09426,0.00089,0.30532,0.03492,0.04651,0.01685,0.05536,0.02909,0.03327,0.01924,0.21601,0.00745
"AFG",2007,"Both",2984,4.15397,0.14407,9e-05,0.09993,0.00113,0.32315,0.03068,0.04734,0.01678,0.0537,0.029,0.03424,0.00792,0.20792,0.00407
"AFG",2008,"Both",3160,4.24842,0.14891,9e-05,0.10144,0.00079,0.33587,0.03091,0.04692,0.01649,0.05058,0.02832,0.03418,0.01136,0.19368,0.00046
"AFG",2009,"Both",3289,4.24883,0.14785,0.00017,0.09721,0.00063,0.33096,0.03206,0.04469,0.01558,0.04591,0.02646,0.03255,0.05024,0.17357,0.00213
"AFG",2010,"Both",3304,4.1222,0.14965,0.00017,0.09687,7e-04,0.33444,0.0312,0.04368,0.0151,0.04351,0.02545,0.03181,0.0563,0.16215,0.00897
"AFG",2011,"Both",3223,3.89584,0.15312,0.00017,0.0959,0.00095,0.3386,0.03397,0.04317,0.01487,0.04274,0.02485,0.03147,0.06217,0.15566,0.00233
"AFG",2012,"Both",3079,3.59941,0.15335,0.00017,0.09366,0.00046,0.33567,0.03658,0.04252,0.01456,0.04263,0.02403,0.03093,0.06711,0.14977,0.00857
"AFG",2013,"Both",2857,3.24409,0.15314,0.00025,0.09204,0.00074,0.33326,0.03959,0.04225,0.0144,0.04398,0.02347,0.03089,0.07526,0.14712,0.00363
"AFG",2014,"Both",2598,2.87404,0.1422,0.00024,0.0841,0.00075,0.30932,0.04201,0.0395,0.01341,0.04376,0.02167,0.02936,0.12525,0.1381,0.01033
"AFG",2015,"Both",2363,2.54906,0.12823,0.00022,0.07732,0.00084,0.28563,0.04042,0.03609,0.01224,0.04347,0.01983,0.02764,0.18085,0.12949,0.01773
"AFG",2016,"Both",2172,2.2935,0.12211,0.00022,0.07785,0.00193,0.284,0.0386,0.03531,0.01192,0.0471,0.01964,0.02821,0.19809,0.13338,0.00161
"AFG",2017,"Both",2050,2.11499,0.14311,0.00037,0.0965,0.00259,0.34859,0.04574,0.04251,0.01431,0.06321,0.02418,0.03555,0,0.17227,0.01106
"AFG",2018,"Both",1958,1.98784,0.13818,0.00038,0.09549,0.00203,0.34806,0.04838,0.04184,0.01404,0.06839,0.02434,0.03634,0,0.1816,0.00094
"AFG",2019,"Both",1879,1.88483,0.12493,0.00037,0.08912,0.00117,0.31995,0.04328,0.03864,0.01285,0.06835,0.02279,0.03424,0.06336,0.18,0.00094
"AFG",2020,"Both",1823,1.80404,0.11443,0.00036,0.08099,0.00066,0.29175,0.04167,0.03539,0.01176,0.06703,0.02128,0.03174,0.12495,0.17711,0.00088
"AFG",2021,"Both",1777,1.73432,0.11134,0.00036,0.07688,0.00059,0.27943,0.04169,0.03367,0.01126,0.06715,0.0207,0.03027,0.14659,0.17919,0.00086
"AGO",2000,"Both",6183,14.72584,0.25726,0.00183,0.1068,0.1568,0.36663,0.01277,0.02703,0.00379,0.00124,0.00616,0.01475,0.04318,0.00108,0.00069
"AGO",2001,"Both",6234,14.37952,0.2459,0.00238,0.10747,0.17419,0.36253,0.01217,0.0278,0.00377,0.00153,0.00641,0.01533,0.03796,0.00133,0.00124
"AGO",2002,"Both",6253,13.9893,0.2513,0.00316,0.117,0.1635,0.38338,0.01107,0.03071,0.00401,0.00206,0.00717,0.01711,0.00771,0.00179,5e-05
"AGO",2003,"Both",6235,13.54929,0.24803,0.00403,0.12155,0.15863,0.38856,0.01064,0.03274,0.0041,0.00269,0.00778,0.01839,0.00037,0.00238,1e-04
"AGO",2004,"Both",6178,13.05005,0.24182,0.00511,0.11942,0.16897,0.37942,0.01284,0.03373,0.00409,0.00344,0.00826,0.01897,1e-04,0.00318,0.00067
"AGO",2005,"Both",6093,12.51197,0.24071,0.0065,0.11945,0.16727,0.37469,0.01437,0.03526,0.00417,0.00447,0.00895,0.01974,6e-05,0.00437,0
"AGO",2006,"Both",5990,11.95702,0.24025,0.00819,0.12495,0.15626,0.37505,0.0112,0.03721,0.00432,0.00583,0.00984,0.02075,5e-05,0.00609,0
"AGO",2007,"Both",5868,11.37697,0.23417,0.01013,0.12132,0.14484,0.3762,0.01819,0.03913,0.00449,0.00751,0.01096,0.02191,5e-05,0.00858,0.00251
"AGO",2008,"Both",5738,10.79411,0.22894,0.01232,0.12874,0.12168,0.38741,0.01611,0.04172,0.00475,0.00966,0.01259,0.02358,5e-05,0.0123,0.00017
"AGO",2009,"Both",5612,10.23363,0.21821,0.01488,0.12736,0.1036,0.39517,0.02247,0.04342,0.00494,0.01186,0.01448,0.02502,3e-05,0.01716,0.00141
"AGO",2010,"Both",5496,9.69545,0.20415,0.01792,0.13343,0.09572,0.39927,0.01934,0.04425,0.00501,0.01409,0.01661,0.02623,7e-05,0.02339,0.00052
"AGO",2011,"Both",5402,9.19736,0.19002,0.02123,0.13308,0.09004,0.39864,0.02226,0.0444,0.00499,0.01627,0.01885,0.02709,2e-05,0.03087,0.00222
"AGO",2012,"Both",5318,8.718,0.17665,0.02489,0.13786,0.08773,0.39669,0.01933,0.04423,0.00491,0.01865,0.02125,0.02773,3e-05,0.04006,0
"AGO",2013,"Both",5260,8.2819,0.16325,0.02827,0.1396,0.09035,0.38922,0.01798,0.04364,0.00475,0.02111,0.02338,0.02801,3e-05,0.05017,0.00023
"AGO",2014,"Both",5245,7.91846,0.15181,0.03129,0.1365,0.09696,0.37889,0.02098,0.0428,0.00454,0.02327,0.02515,0.02787,0,0.05993,0
"AGO",2015,"Both",5260,7.6063,0.14074,0.03398,0.13665,0.10557,0.36681,0.01971,0.04179,0.0043,0.02545,0.02667,0.02775,1e-05,0.06956,0.00101
