"ISO3","Year","Sex","Deaths","Rate","OtherCMPN","HIV","TB","Maternal","Cardiovascular","OtherNCD","Digestive","Neoplasms","RTI","Drowning","CollectVio","InterpVio","SelfHarm","OtherInj","NatDis"
"AFG",2000,"Female",1717,8.65561,0.02726,4e-05,0.20566,0.05065,0.05499,0.24801,0.10916,0.0462,0.01289,0.0159,0.01794,0.02144,0.10509,0.08478,0
"AFG",2001,"Female",1572,8.03,0.02548,4e-05,0.20165,0.04989,0.05392,0.24998,0.10901,0.04671,0.01305,0.01602,0.02121,0.02182,0.10607,0.08509,6e-05
"AFG",2002,"Female",1530,7.57063,0.0255,5e-05,0.1969,0.04935,0.05306,0.25194,0.10893,0.04727,0.01323,0.01617,0.00495,0.02224,0.10719,0.08539,0.01782
"AFG",2003,"Female",1620,7.20372,0.02549,6e-05,0.198,0.05003,0.05356,0.25875,0.1109,0.04877,0.01367,0.01663,0.00218,0.02313,0.11042,0.08725,0.00115
"AFG",2004,"Female",1668,6.95835,0.02771,7e-05,0.19382,0.04992,0.05325,0.26018,0.11055,0.04928,0.01383,0.01676,0.00224,0.02358,0.11143,0.08721,0.00017
"AFG",2005,"Female",1715,6.88824,0.02932,9e-05,0.18976,0.04949,0.05268,0.25835,0.10889,0.0492,0.01382,0.01668,0.00466,0.02376,0.11115,0.08601,0.00614
"AFG",2006,"Female",1828,6.9275,0.03275,0.00011,0.18564,0.04928,0.05241,0.25608,0.10707,0.04903,0.01378,0.01659,0.01448,0.02392,0.11074,0.08459,0.00353
"AFG",2007,"Female",1971,7.11251,0.03745,0.00014,0.18355,0.04969,0.05289,0.25615,0.10622,0.0493,0.01386,0.01665,0.01282,0.0243,0.11135,0.08386,0.00178
"AFG",2008,"Female",2125,7.57339,0.03827,0.00017,0.18558,0.05013,0.05348,0.2561,0.10517,0.04951,0.01392,0.01667,0.01132,0.02465,0.11176,0.08298,3e-04
"AFG",2009,"Female",2500,8.35522,0.03941,2e-04,0.18282,0.04977,0.05331,0.25327,0.10259,0.04906,0.01379,0.01645,0.02208,0.02466,0.11053,0.08102,0.00103
