"ISO3","Year","Sex","Deaths","Rate","OtherCMPN","HIV","TB","Maternal","Cardiovascular","OtherNCD","Digestive","Neoplasms","RTI","Drowning","CollectVio","InterpVio","SelfHarm","OtherInj","NatDis"
"AFG",2000,"Male",2007,9.71626,0.35325,5e-05,0.22207,0,0.06826,0.06179,0.03307,0.0292,0.06633,0.02377,0.04166,0.01073,0.04259,0.04724,0
"AFG",2001,"Male",1849,9.08037,0.33711,6e-05,0.22939,0,0.06819,0.06186,0.03311,0.02924,0.06642,0.0238,0.04999,0.01076,0.04266,0.04732,9e-05
"AFG",2002,"Male",1776,8.4416,0.33912,7e-05,0.22868,0,0.06922,0.06293,0.03367,0.02974,0.06757,0.02421,0.01267,0.01096,0.04341,0.04815,0.02958
"AFG",2003,"Male",1852,7.91183,0.34518,9e-05,0.24312,0,0.07236,0.0659,0.03526,0.03115,0.07077,0.02536,0,0.0115,0.04547,0.05045,0.0034
"AFG",2004,"Male",1860,7.45042,0.36205,1e-04,0.22416,0,0.07245,0.06611,0.03536,0.03125,0.071,0.02544,0.00386,0.01154,0.04563,0.05061,0.00044
"AFG",2005,"Male",1841,7.09071,0.364,0.00011,0.21185,0,0.07118,0.06506,0.03479,0.03076,0.06987,0.02504,0.00867,0.01135,0.04491,0.04981,0.01261
"AFG",2006,"Male",1916,6.9703,0.37865,0.00012,0.18603,0,0.06946,0.06359,0.03401,0.03006,0.06829,0.02448,0.03405,0.01107,0.0439,0.04868,0.0076
"AFG",2007,"Male",2038,7.06178,0.41243,0.00014,0.16675,0,0.07066,0.06477,0.03464,0.03062,0.06956,0.02493,0.01423,0.01124,0.04473,0.04958,0.00572
"AFG",2008,"Male",2143,7.29206,0.41194,0.00016,0.16903,0,0.07013,0.06437,0.03442,0.03042,0.06913,0.02478,0.02026,0.01112,0.04445,0.04926,0.00053
"AFG",2009,"Male",2378,7.60395,0.38566,0.00018,0.16061,0,0.06527,0.05999,0.03208,0.02836,0.06443,0.02309,0.08065,0.01033,0.04144,0.0459,0.002
"AFG",2010,"Male",2610,7.93407,0.4001,2e-04,0.14408,0,0.06449,0.05938,0.03176,0.02807,0.06378,0.02286,0.08178,0.01019,0.04102,0.04543,0.00687
"AFG",2011,"Male",2855,8.283,0.40607,0.00022,0.14092,0,0.06481,0.06019,0.03218,0.02845,0.06464,0.02317,0.07972,0.01033,0.04159,0.04604,0.00168
"AFG",2012,"Male",3125,8.55273,0.40951,0.00024,0.13413,0,0.06478,0.06099,0.0326,0.02882,0.06549,0.02347,0.07504,0.01047,0.04215,0.04666,0.00564
"AFG",2013,"Male",3450,9.04005,0.4159,0.00024,0.12343,0,0.06545,0.06318,0.03375,0.02985,0.06782,0.02431,0.07076,0.01088,0.04367,0.04833,0.00243
"AFG",2014,"Male",3759,9.48025,0.39374,0.00023,0.11216,0,0.06334,0.06341,0.03385,0.02994,0.06802,0.02439,0.09975,0.01096,0.04383,0.04849,0.00789
"AFG",2015,"Male",4015,9.72792,0.38157,0.00022,0.09631,0,0.06186,0.06423,0.03426,0.03032,0.06887,0.02469,0.12705,0.01115,0.0444,0.04912,0.00594
"AFG",2016,"Male",4196,9.92307,0.38487,0.00045,0.08186,0,0.06293,0.06799,0.03623,0.03207,0.07284,0.02613,0.12288,0.01185,0.04699,0.05198,0.00093
"AFG",2017,"Male",4360,10.01698,0.43257,0.00051,0.08107,0,0.072,0.08057,0.0429,0.03799,0.08627,0.03095,0,0.0141,0.05569,0.06159,0.00379
"AFG",2018,"Male",4469,9.98114,0.42322,0.00026,0.07935,0,0.07255,0.08334,0.04434,0.03927,0.08918,0.032,0,0.01466,0.05762,0.06371,0.00053
