"ISO3","Year","Sex","epi_colvio","epi_natdis","CollectVio","NatDis"
"AFG",2000,"Both",0,0,71.7987442016602,0
"AFG",2001,"Both",0,0,80.2300415039062,0.4412721991539
"AFG",2002,"Both",0,0,19.2997531890869,141.445251464844
"AFG",2003,"Both",0,0,0,5.99069833755493
"AFG",2004,"Both",0,0,5.83114194869995,0.859809279441833
"AFG",2005,"Both",0,0,13.1816940307617,36.4217414855957
"AFG",2006,"Both",0,0,54.7498474121094,21.213960647583
"AFG",2007,"Both",0,0,23.9178409576416,12.2873582839966
"AFG",2008,"Both",0,0,36.3209075927734,1.46841514110565
"AFG",2009,"Both",0,0,174.387008666992,7.40891075134277
"AFG",2010,"Both",0,0,199.019454956055,31.6993274688721
"AFG",2011,"Both",0,0,214.192657470703,8.01352691650391
"AFG",2012,"Both",0,0,223.541488647461,28.5633010864258
"AFG",2013,"Both",0,0,233.429885864258,11.2484760284424
"AFG",2014,"Both",0,0,376.440521240234,31.0473346710205
"AFG",2015,"Both",0,0,533.230102539062,52.2627143859863
"AFG",2016,"Both",0,0,537.6328125,4.38278436660767
"AFG",2017,"Both",0,0,0,22.9293575286865
"AFG",2018,"Both",0,0,0,1.8408055305481
"AFG",2019,"Both",0,0,127.232582092285,1.89613115787506
"AFG",2020,"Both",0,0,260.568878173828,1.83962082862854
"AFG",2021,"Both",0,0,305.532775878906,1.79320132732391
"AGO",2000,"Both",0,0,279.202056884766,4.47661876678467
"AGO",2001,"Both",0,0,246.297927856445,8.01805019378662
"AGO",2002,"Both",0,0,48.5837020874023,0.323769599199295
"AGO",2003,"Both",0,0,2.33910608291626,0.604700028896332
"AGO",2004,"Both",0,0,0.597699880599976,4.12507152557373
"AGO",2005,"Both",0,0,0.356975466012955,0
"AGO",2006,"Both",0,0,0.295434683561325,0
"AGO",2007,"Both",0,0,0.32316118478775,14.7557039260864
"AGO",2008,"Both",0,0,0.292601108551025,0.970922112464905
"AGO",2009,"Both",0,0,0.146019026637077,7.94933938980103
"AGO",2010,"Both",0,0,0.379734605550766,2.86124110221863
"AGO",2011,"Both",0,0,0.11689468473196,11.9989328384399
"AGO",2012,"Both",0,0,0.176016002893448,0
"AGO",2013,"Both",0,0,0.177131786942482,1.20080745220184
"AGO",2014,"Both",0,0,0,0
"AGO",2015,"Both",0,0,0.0300305355340242,5.31250190734863
"AGO",2016,"Both",0,0,0.727509081363678,4.87804460525513
"AGO",2017,"Both",0,0,0.398259788751602,0.462786138057709
"AGO",2018,"Both",0,0,1.08378291130066,0.474360942840576
"AGO",2019,"Both",0,0,0.343756824731827,2.91217160224915
"AGO",2020,"Both",0,0,1.47797012329102,1.60589909553528
