"ISO3","Year","Sex","epi_colvio","epi_natdis","CollectVio","NatDis"
"AFG",2000,"Female",0,0,31.3580646514893,0
"AFG",2001,"Female",0,0,34.0604820251465,0.0891206115484238
"AFG",2002,"Female",0,0,7.74822664260864,27.9012241363525
"AFG",2003,"Female",0,0,3.54647850990295,1.87433290481567
"AFG",2004,"Female",0,0,3.75019812583923,0.286490052938461
"AFG",2005,"Female",0,0,8.0813512802124,10.6536560058594
"AFG",2006,"Female",0,0,26.9574699401855,6.57701253890991
"AFG",2007,"Female",0,0,25.6331481933594,3.56642556190491
"AFG",2008,"Female",0,0,24.3277378082275,0.646807610988617
"AFG",2009,"Female",0,0,56.5185012817383,2.63045835494995
"AFG",2010,"Female",0,0,63.8803215026855,11.9352827072144
"AFG",2011,"Female",0,0,69.8358917236328,2.72716307640076
"AFG",2012,"Female",0,0,74.5440368652344,11.0291585922241
"AFG",2013,"Female",0,0,79.7432174682617,4.16619491577148
"AFG",2014,"Female",0,0,129.719619750977,9.45672035217285
"AFG",2015,"Female",0,0,187.592727661133,23.3204193115234
"AFG",2016,"Female",0,0,192.132171630859,1.44468212127686
"AFG",2017,"Female",0,0,80.2016448974609,9.07384872436523
"AFG",2018,"Female",0,0,95.5525283813477,2.70127058029175
"AFG",2019,"Female",0,0,123.161003112793,4.72993469238281
"AFG",2020,"Female",0,0,158.736434936523,4.81518125534058
"AFG",2021,"Female",0,0,202.021896362305,4.81649446487427
"AGO",2000,"Female",0,0,156.856582641602,1.77832496166229
"AGO",2001,"Female",0,0,109.707672119141,2.61406397819519
"AGO",2002,"Female",0,0,68.6863708496094,0.102158792316914
"AGO",2003,"Female",0,0,0.834880173206329,0.192036613821983
"AGO",2004,"Female",0,0,0.251154482364655,2.89618897438049
"AGO",2005,"Female",0,0,0.135325938463211,0
"AGO",2006,"Female",0,0,0.113905049860477,0
"AGO",2007,"Female",0,0,0.130119204521179,9.8861665725708
"AGO",2008,"Female",0,0,0.103326626121998,0.627012610435486
"AGO",2009,"Female",0,0,0.0514217838644981,3.50291061401367
"AGO",2010,"Female",0,0,0.13945160806179,1.23747766017914
"AGO",2011,"Female",0,0,0.0407549813389778,4.98847484588623
"AGO",2012,"Female",0,0,0.0609216615557671,0
"AGO",2013,"Female",0,0,0.0608398616313934,0.648801922798157
"AGO",2014,"Female",0,0,0,0
"AGO",2015,"Female",0,0,0.0780998095870018,2.01346969604492
"AGO",2016,"Female",0,0,0.526806890964508,1.5306361913681
"AGO",2017,"Female",0,0,0.301152378320694,0.14150932431221
"AGO",2018,"Female",0,0,0.381396532058716,0.166355490684509
"AGO",2019,"Female",0,0,0.152502045035362,0.887232184410095
"AGO",2020,"Female",0,0,0.580793142318726,0.490832656621933
"AGO",2021,"Female",0,0,1.44476759433746,0.297652304172516
"AIA",2000,"Female",0,0,0,0
"AIA",2001,"Female",0,0,0,0
"AIA",2002,"Female",0,0,0,0
"AIA",2003,"Female",0,0,0,0
"AIA",2004,"Female",0,0,0,0
"AIA",2005,"Female",0,0,0,0
"AIA",2006,"Female",0,0,0,0
"AIA",2007,"Female",0,0,0,0
"AIA",2008,"Female",0,0,0,0
"AIA",2009,"Female",0,0,0,0
"AIA",2010,"Female",0,0,0,0
"AIA",2011,"Female",0,0,0,0
"AIA",2012,"Female",0,0,0,0
"AIA",2013,"Female",0,0,0,0
"AIA",2014,"Female",0,0,0,0
"AIA",2015,"Female",0,0,0,0
"AIA",2016,"Female",0,0,0,0
"AIA",2017,"Female",0,0,0,0
"AIA",2018,"Female",0,0,0,0
"AIA",2019,"Female",0,0,0,0
"AIA",2020,"Female",0,0,0,0
"AIA",2021,"Female",0,0,0,0
"ALB",2000,"Female",0,0,0,0
"ALB",2001,"Female",0,0,0,0
"ALB",2002,"Female",0,0,0,0
"ALB",2003,"Female",0,0,0,0
"ALB",2004,"Female",0,0,0,0
"ALB",2005,"Female",0,0,0,0
"ALB",2006,"Female",0,0,0,0
"ALB",2007,"Female",0,0,0,0
"ALB",2008,"Female",0,0,0,0
"ALB",2009,"Female",0,0,0,0
"ALB",2010,"Female",0,0,0,0
"ALB",2011,"Female",0,0,0,0
"ALB",2012,"Female",0,0,0,0
"ALB",2013,"Female",0,0,0,0
"ALB",2014,"Female",0,0,0,0
"ALB",2015,"Female",0,0,0,0
"ALB",2016,"Female",0,0,0,0
"ALB",2017,"Female",0,0,0,0
"ALB",2018,"Female",0,0,0,0
"ALB",2019,"Female",0,0,0,0
"ALB",2020,"Female",0,0,0,0
"ALB",2021,"Female",0,0,0,0
"AND",2000,"Female",0,0,0,0
