"ISO3","Year","Sex","epi_colvio","epi_natdis","CollectVio","NatDis"
"AFG",2000,"Male",0,0,87.2425842285156,0
"AFG",2001,"Male",0,0,97.3113174438477,0.170546501874924
"AFG",2002,"Male",0,0,23.5011978149414,54.859935760498
"AFG",2003,"Male",0,0,0,6.31412553787231
"AFG",2004,"Male",0,0,7.20341444015503,0.813706874847412
"AFG",2005,"Male",0,0,16.3032569885254,23.717586517334
"AFG",2006,"Male",0,0,68.0766830444336,15.1897592544556
"AFG",2007,"Male",0,0,29.5961074829102,11.9038801193237
"AFG",2008,"Male",0,0,44.3389892578125,1.15085685253143
"AFG",2009,"Male",0,0,209.062896728516,5.18032884597778
"AFG",2010,"Male",0,0,234.215148925781,19.662130355835
"AFG",2011,"Male",0,0,247.756622314453,5.21703243255615
"AFG",2012,"Male",0,0,255.072845458984,19.166784286499
"AFG",2013,"Male",0,0,263.383270263672,9.05706310272217
"AFG",2014,"Male",0,0,420.210540771484,33.2367820739746
"AFG",2015,"Male",0,0,588.351501464844,27.5249004364014
"AFG",2016,"Male",0,0,588.435791015625,4.44676446914673
"AFG",2017,"Male",0,0,0,16.5736255645752
"AFG",2018,"Male",0,0,0,2.34926629066467
"AFG",2019,"Male",0,0,133.977340698242,2.51438331604004
"AFG",2020,"Male",0,0,271.315826416016,2.55270385742188
"AFG",2021,"Male",0,0,316.873413085938,2.58336019515991
"AGO",2000,"Male",0,0,510.125396728516,3.65036654472351
"AGO",2001,"Male",0,0,281.749053955078,7.36892795562744
"AGO",2002,"Male",0,0,121.081855773926,0.352616727352142
"AGO",2003,"Male",0,0,2.68470478057861,0.659388363361359
"AGO",2004,"Male",0,0,0.686017513275146,4.73828744888306
"AGO",2005,"Male",0,0,0.409449368715286,0
"AGO",2006,"Male",0,0,0.341509252786636,0
"AGO",2007,"Male",0,0,0.376691043376923,18.1163806915283
"AGO",2008,"Male",0,0,0.343778431415558,1.20716404914856
"AGO",2009,"Male",0,0,0.172605916857719,6.8760781288147
"AGO",2010,"Male",0,0,0.450234562158585,2.52197313308716
"AGO",2011,"Male",0,0,0.139453068375587,11.013934135437
"AGO",2012,"Male",0,0,0.210997149348259,0
"AGO",2013,"Male",0,0,0.212997600436211,1.3944479227066
"AGO",2014,"Male",0,0,0,0
"AGO",2015,"Male",0,0,0.0360147096216679,5.2075309753418
"AGO",2016,"Male",0,0,0.869495630264282,5.46582317352295
"AGO",2017,"Male",0,0,0.473020642995834,0.522217929363251
"AGO",2018,"Male",0,0,1.27609515190125,0.481669098138809
"AGO",2019,"Male",0,0,0.400764763355255,3.22590494155884
"AGO",2020,"Male",0,0,1.70622837543488,1.76165580749512
"AGO",2021,"Male",0,0,4.3588399887085,1.05422365665436
"AIA",2000,"Male",0,0,0,0
"AIA",2001,"Male",0,0,0,0
"AIA",2002,"Male",0,0,0,0
"AIA",2003,"Male",0,0,0,0
"AIA",2004,"Male",0,0,0,0
"AIA",2005,"Male",0,0,0,0
"AIA",2006,"Male",0,0,0,0
"AIA",2007,"Male",0,0,0,0
"AIA",2008,"Male",0,0,0,0
"AIA",2009,"Male",0,0,0,0
"AIA",2010,"Male",0,0,0,0
"AIA",2011,"Male",0,0,0,0
"AIA",2012,"Male",0,0,0,0
"AIA",2013,"Male",0,0,0,0
"AIA",2014,"Male",0,0,0,0
"AIA",2015,"Male",0,0,0,0
"AIA",2016,"Male",0,0,0,0
"AIA",2017,"Male",0,0,0,0
"AIA",2018,"Male",0,0,0,0
