"ISO3","Year","Sex","HIV"
"AFG",2000,"Both",0.0715558629373145
"AFG",2001,"Both",0.0829026742938863
"AFG",2002,"Both",0.0999661467564693
"AFG",2003,"Both",0.130080126649077
"AFG",2004,"Both",0.165389422370033
"AFG",2005,"Both",0.206972027782631
"AFG",2006,"Both",0.242196380169625
"AFG",2007,"Both",0.261662574535251
"AFG",2008,"Both",0.278217996126079
"AFG",2009,"Both",0.582846003898636
"AFG",2010,"Both",0.590738423028786
"AFG",2011,"Both",0.581873984473732
"AFG",2012,"Both",0.560837887067395
"AFG",2013,"Both",0.785609532538955
"AFG",2014,"Both",0.717415316642121
"AFG",2015,"Both",0.655539115960792
"AFG",2016,"Both",0.607269338303821
"AFG",2017,"Both",0.774242281182136
"AFG",2018,"Both",0.754019447386156
"AFG",2019,"Both",0.742467647930455
"AFG",2020,"Both",0.742263843648209
"AFG",2021,"Both",0.746638655462185
"AGO",2000,"Both",11.8327379433529
"AGO",2001,"Both",15.4434351775392
"AGO",2002,"Both",19.896270841288
"AGO",2003,"Both",25.1282625383828
"AGO",2004,"Both",31.6225217053259
"AGO",2005,"Both",39.5885433932242
"AGO",2006,"Both",49.0883015775456
"AGO",2007,"Both",59.6240474174428
"AGO",2008,"Both",70.6845980027699
"AGO",2009,"Both",83.6154893359552
"AGO",2010,"Both",98.545971563981
"AGO",2011,"Both",114.936170212766
"AGO",2012,"Both",132.358706808074
"AGO",2013,"Both",148.746279110489
"AGO",2014,"Both",164.109643680199
"AGO",2015,"Both",178.901981788966
"AGO",2016,"Both",190.705229226361
"AGO",2017,"Both",202.233524355301
"AGO",2018,"Both",213.055466237942
"AGO",2019,"Both",218.404689998223
"AGO",2020,"Both",220.970401691332
"AGO",2021,"Both",224.332691971314
"ALB",2000,"Both",0.000535116279069767
"ALB",2001,"Both",0.00073897233201581
"ALB",2002,"Both",0.00101129032258065
"ALB",2003,"Both",0.00137713114754098
"ALB",2004,"Both",0.0041824358974359
"ALB",2005,"Both",0.00457333333333333
"ALB",2006,"Both",0.00427883838383838
"ALB",2007,"Both",0.00559234972677596
"ALB",2008,"Both",0.00690994152046784
"ALB",2009,"Both",0.00858765432098765
"ALB",2010,"Both",0.010804064516129
"ALB",2011,"Both",0.0100713513513514
"ALB",2012,"Both",0.00942744680851064
"ALB",2013,"Both",0.00950300751879699
"ALB",2014,"Both",0.010404
"ALB",2015,"Both",0.0118464102564103
"ALB",2016,"Both",0.0147675
"ALB",2017,"Both",0.00517771428571428
"ALB",2018,"Both",0.00383877551020408
"ALB",2019,"Both",0.00373695652173913
"ALB",2020,"Both",0.00412689655172414
"ALB",2021,"Both",0.00448385542168675
"AND",2000,"Both",0
"AND",2001,"Both",0
"AND",2002,"Both",0
"AND",2003,"Both",0
"AND",2004,"Both",0
"AND",2005,"Both",0
"AND",2006,"Both",0
"AND",2007,"Both",0
"AND",2008,"Both",0
"AND",2009,"Both",0
"AND",2010,"Both",0
"AND",2011,"Both",0
"AND",2012,"Both",0
"AND",2013,"Both",0
"AND",2014,"Both",0
"AND",2015,"Both",0
"AND",2016,"Both",0
"AND",2017,"Both",0
"AND",2018,"Both",0
"AND",2019,"Both",0
"AND",2020,"Both",0
"AND",2021,"Both",0
"ARE",2000,"Both",0.086914375
"ARE",2001,"Both",0.0677973333333333
"ARE",2002,"Both",0.07578
"ARE",2003,"Both",0.0915385714285714
"ARE",2004,"Both",0.112217307692308
"ARE",2005,"Both",0.1397025
"ARE",2006,"Both",0.167716666666667
"ARE",2007,"Both",0.220986818181818
"ARE",2008,"Both",0.267657272727273
"ARE",2009,"Both",0.348994285714286
"ARE",2010,"Both",0.4443875
"ARE",2011,"Both",0.483917
"ARE",2012,"Both",0.541617894736842
"ARE",2013,"Both",0.603802222222222
"ARE",2014,"Both",0.631573333333333
"ARE",2015,"Both",0.580199444444444
"ARE",2016,"Both",0.536743529411765
"ARE",2017,"Both",0.5291325
"ARE",2018,"Both",0.50974
"ARE",2019,"Both",0.529356428571429
"ARE",2020,"Both",0.506097142857143
"ARE",2021,"Both",0.510853571428571
"ARG",2000,"Both",1.8175313059034
"ARG",2001,"Both",2.73122171945701
"ARG",2002,"Both",3.21127406049496
"ARG",2003,"Both",3.73259052924791
"ARG",2004,"Both",4.33474576271186
"ARG",2005,"Both",5.03349282296651
"ARG",2006,"Both",4.19493177387914
"ARG",2007,"Both",4.28968253968254
"ARG",2008,"Both",4.30520464881253
"ARG",2009,"Both",3.72900566718187
"ARG",2010,"Both",3.65441176470588
"ARG",2011,"Both",3.06115879828326
"ARG",2012,"Both",2.4917943107221
"ARG",2013,"Both",1.95877437325905
"ARG",2014,"Both",1.94001131861913
"ARG",2015,"Both",1.4526678141136
"ARG",2016,"Both",1.44695652173913
"ARG",2017,"Both",0.947368421052632
"ARG",2018,"Both",0.912632821723731
"ARG",2019,"Both",0.859356376638856
"ARG",2020,"Both",0.397466827503016
"ARG",2021,"Both",0.367970660146699
"ARM",2000,"Both",0.00017037037037037
"ARM",2001,"Both",0.000163026315789474
"ARM",2002,"Both",0.000157428571428571
"ARM",2003,"Both",0.000153461538461538
"ARM",2004,"Both",0.000184873949579832
"ARM",2005,"Both",0.000577777777777778
"ARM",2006,"Both",0.000795
"ARM",2007,"Both",0.00100688888888889
"ARM",2008,"Both",0.00158690476190476
"ARM",2009,"Both",0.002629125
"ARM",2010,"Both",0.004395
"ARM",2011,"Both",0.00463794871794872
"ARM",2012,"Both",0.0049853164556962
"ARM",2013,"Both",0.00588518518518519
"ARM",2014,"Both",0.00768333333333333
"ARM",2015,"Both",0.00720954545454545
"ARM",2016,"Both",0.00816369565217391
"ARM",2017,"Both",0.00732040816326531
"ARM",2018,"Both",0.00504277227722772
"ARM",2019,"Both",0.00418893203883495
"ARM",2020,"Both",0.00419333333333333
"ARM",2021,"Both",0.00493301886792453
"AUS",2000,"Both",0.121301570048309
"AUS",2001,"Both",0.141750685279188
"AUS",2002,"Both",0.156701577540107
"AUS",2003,"Both",0.159765833333333
"AUS",2004,"Both",0.161040804597701
"AUS",2005,"Both",0.153371893491124
"AUS",2006,"Both",0.143833128834356
"AUS",2007,"Both",0.149990566037736
"AUS",2008,"Both",0.148405935483871
"AUS",2009,"Both",0.142669078947368
"AUS",2010,"Both",0.123060234899329
"AUS",2011,"Both",0.0894502739726027
"AUS",2012,"Both",0.064114965034965
"AUS",2013,"Both",0.0418190070921986
"AUS",2014,"Both",0.0219010791366906
"AUS",2015,"Both",0.0239350740740741
"AUS",2016,"Both",0.0205521509433962
"AUS",2017,"Both",0.0147829885057471
"AUS",2018,"Both",0.00938161538461538
"AUS",2019,"Both",0.00796328244274809
"AUS",2020,"Both",0.00689779467680608
"AUS",2021,"Both",0.00609618320610687
"AUT",2000,"Both",0.0870267391304348
"AUT",2001,"Both",0.10498977443609
"AUT",2002,"Both",0.0881612977099237
"AUT",2003,"Both",0.0690461538461539
"AUT",2004,"Both",0.058571328125
"AUT",2005,"Both",0.0468512195121951
"AUT",2006,"Both",0.035321186440678
"AUT",2007,"Both",0.0226054464285714
"AUT",2008,"Both",0.0213586111111111
"AUT",2009,"Both",0.0193246153846154
"AUT",2010,"Both",0.017802
"AUT",2011,"Both",0.0138486597938144
"AUT",2012,"Both",0.0123007446808511
"AUT",2013,"Both",0.0107090217391304
"AUT",2014,"Both",0.00973483146067416
"AUT",2015,"Both",0.00991325581395349
"AUT",2016,"Both",0.0104603571428571
"AUT",2017,"Both",0.00967865853658537
"AUT",2018,"Both",0.00631456790123457
"AUT",2019,"Both",0.005138375
"AUT",2020,"Both",0.00375428571428571
"AUT",2021,"Both",0.00293351351351351
"AZE",2000,"Both",0.014587786259542
"AZE",2001,"Both",0.0155963913595934
"AZE",2002,"Both",0.0167225831202046
"AZE",2003,"Both",0.0194201813471503
"AZE",2004,"Both",0.0253111930294906
"AZE",2005,"Both",0.0378841025641026
"AZE",2006,"Both",0.0613991820987654
"AZE",2007,"Both",0.102142953020134
"AZE",2008,"Both",0.166259602888087
"AZE",2009,"Both",0.268062162162162
"AZE",2010,"Both",0.419063574380165
"AZE",2011,"Both",0.467105263157895
"AZE",2012,"Both",0.935483870967742
"AZE",2013,"Both",0.947619047619048
"AZE",2014,"Both",1.44927536231884
"AZE",2015,"Both",1.45734597156398
"AZE",2016,"Both",1.47935779816514
"AZE",2017,"Both",1.51327433628319
"AZE",2018,"Both",1.56465517241379
"AZE",2019,"Both",1.09207708779443
"AZE",2020,"Both",1.11949685534591
"AZE",2021,"Both",1.14226804123711
"BDI",2000,"Both",168.250135354629
"BDI",2001,"Both",197.324006715165
"BDI",2002,"Both",216.367062916787
"BDI",2003,"Both",221.15437037037
"BDI",2004,"Both",210.025172310458
"BDI",2005,"Both",191.004257260149
"BDI",2006,"Both",170.977455219271
"BDI",2007,"Both",149.932330827068
"BDI",2008,"Both",128.292868462758
"BDI",2009,"Both",114.458187041175
"BDI",2010,"Both",101.20785440613
"BDI",2011,"Both",88.2888183980968
"BDI",2012,"Both",81.0973201692525
"BDI",2013,"Both",70.8983364140481
"BDI",2014,"Both",69.1471835251363
"BDI",2015,"Both",64.435106541499
"BDI",2016,"Both",55.7921010130671
"BDI",2017,"Both",56.8845763939174
"BDI",2018,"Both",54.9496002284409
"BDI",2019,"Both",47.5938638274026
"BDI",2020,"Both",38.3160935350757
"BDI",2021,"Both",35.0333878440992
"BEL",2000,"Both",0.18343567961165
"BEL",2001,"Both",0.1982
"BEL",2002,"Both",0.160303578947368
"BEL",2003,"Both",0.150537595628415
"BEL",2004,"Both",0.155270617977528
"BEL",2005,"Both",0.160293023255814
"BEL",2006,"Both",0.15939
"BEL",2007,"Both",0.1526019375
"BEL",2008,"Both",0.147464709677419
"BEL",2009,"Both",0.1379992
"BEL",2010,"Both",0.119199513888889
"BEL",2011,"Both",0.0861203571428571
"BEL",2012,"Both",0.0669467647058824
"BEL",2013,"Both",0.0500415151515151
"BEL",2014,"Both",0.0327796875
"BEL",2015,"Both",0.0344494444444444
"BEL",2016,"Both",0.0389158196721311
"BEL",2017,"Both",0.0249922950819672
"BEL",2018,"Both",0.0146498333333333
"BEL",2019,"Both",0.0124208474576271
"BEL",2020,"Both",0.0110618644067797
"BEL",2021,"Both",0.0107956034482759
"BEN",2000,"Both",11.9152691968226
"BEN",2001,"Both",14.8380175927912
"BEN",2002,"Both",18.4283924843424
"BEN",2003,"Both",22.2689024390244
"BEN",2004,"Both",27.1692677070828
"BEN",2005,"Both",32.2378378378378
"BEN",2006,"Both",37.5702746365105
"BEN",2007,"Both",42.5384928716904
"BEN",2008,"Both",50.4975550122249
"BEN",2009,"Both",56.3086269744836
"BEN",2010,"Both",55.7343468693739
"BEN",2011,"Both",53.6263324121595
"BEN",2012,"Both",52.8829953198128
"BEN",2013,"Both",49.9178240740741
"BEN",2014,"Both",48.2292859870179
"BEN",2015,"Both",48.6818181818182
"BEN",2016,"Both",48.3643542019177
"BEN",2017,"Both",46.3099065420561
"BEN",2018,"Both",43.6550185873606
"BEN",2019,"Both",41.8108409133098
"BEN",2020,"Both",39.6008543833581
"BEN",2021,"Both",36.6941132637854
"BFA",2000,"Both",85.2324093816631
"BFA",2001,"Both",95.276222953904
"BFA",2002,"Both",102.19892347297
"BFA",2003,"Both",106.481145251397
"BFA",2004,"Both",110.268105849582
"BFA",2005,"Both",115.240801117839
"BFA",2006,"Both",115.336772983114
"BFA",2007,"Both",111.948972360028
"BFA",2008,"Both",109.259039715471
"BFA",2009,"Both",105.785765124555
"BFA",2010,"Both",90.4530360531309
"BFA",2011,"Both",86.7648591049017
"BFA",2012,"Both",82.0492540847739
"BFA",2013,"Both",78.2394883335307
"BFA",2014,"Both",74.8486717267552
"BFA",2015,"Both",76.7294285036756
