"ISO3","Year","Sex","HIV"
"AFG",2000,"Female",0.110475955334988
"AFG",2001,"Female",0.122365693606755
"AFG",2002,"Female",0.140886750881316
"AFG",2003,"Female",0.173655182397221
"AFG",2004,"Female",0.204924330914369
"AFG",2005,"Female",0.239597231270358
"AFG",2006,"Female",0.290480537732967
"AFG",2007,"Female",0.359166904161412
"AFG",2008,"Female",0.445552157115261
"AFG",2009,"Female",0.609051863857374
"AFG",2010,"Female",0.819620241080039
"AFG",2011,"Female",1.0893969718977
"AFG",2012,"Female",1.36228287841191
"AFG",2013,"Female",1.58713629402757
"AFG",2014,"Female",1.82397803538743
"AFG",2015,"Female",2.06754682222904
"AFG",2016,"Female",4.43995021779714
"AFG",2017,"Female",2.31785150078989
"AFG",2018,"Female",4.79666986871598
"AFG",2019,"Female",4.81357027463651
"AFG",2020,"Female",4.77882429360182
"AFG",2021,"Female",4.80065252854812
"AGO",2000,"Female",46.4345377756922
"AGO",2001,"Female",51.854152128402
"AGO",2002,"Female",59.0159833217512
"AGO",2003,"Female",64.6378153205277
"AGO",2004,"Female",71.4156963204471
"AGO",2005,"Female",79.1232227488152
"AGO",2006,"Female",85.7091439688716
"AGO",2007,"Female",88.6910140562249
"AGO",2008,"Female",94.0947559709242
"AGO",2009,"Female",101.157866233415
"AGO",2010,"Female",110.778316690442
"AGO",2011,"Female",120.516245487365
"AGO",2012,"Female",132.785467128028
"AGO",2013,"Female",141.271317829457
"AGO",2014,"Female",130.442703232125
"AGO",2015,"Female",130.848167539267
"AGO",2016,"Female",147.903583061889
"AGO",2017,"Female",181.858389912706
"AGO",2018,"Female",202.482603092784
"AGO",2019,"Female",203.055643879173
"AGO",2020,"Female",203.052598425197
"AGO",2021,"Female",190.87763447625
"ALB",2000,"Female",0.00516654545454545
"ALB",2001,"Female",0.00699622641509434
"ALB",2002,"Female",0.00894807692307692
"ALB",2003,"Female",0.0114807843137255
"ALB",2004,"Female",0.0133416
"ALB",2005,"Female",0.0103061224489796
"ALB",2006,"Female",0.00886170212765957
"ALB",2007,"Female",0.0125346666666667
"ALB",2008,"Female",0.0170063636363636
"ALB",2009,"Female",0.014575
"ALB",2010,"Female",0.0162415555555556
"ALB",2011,"Female",0.0162859574468085
"ALB",2012,"Female",0.0137908163265306
"ALB",2013,"Female",0.00864979591836735
"ALB",2014,"Female",0.00554782608695652
"ALB",2015,"Female",0.00606666666666667
"ALB",2016,"Female",0.00560842105263158
"ALB",2017,"Female",0.006016
"ALB",2018,"Female",0.007809375
"ALB",2019,"Female",0.007065
"ALB",2020,"Female",0.00671172413793103
"ALB",2021,"Female",0.00587777777777778
"AND",2000,"Female",0
"AND",2001,"Female",0
"AND",2002,"Female",0
"AND",2003,"Female",0
"AND",2004,"Female",0
"AND",2005,"Female",0
"AND",2006,"Female",0
"AND",2007,"Female",0
"AND",2008,"Female",0
"AND",2009,"Female",0
"AND",2010,"Female",0
"AND",2011,"Female",0
"AND",2012,"Female",0
"AND",2013,"Female",0
"AND",2014,"Female",0
"AND",2015,"Female",0
"AND",2016,"Female",0
"AND",2017,"Female",0
"AND",2018,"Female",0
"AND",2019,"Female",0
"AND",2020,"Female",0
"AND",2021,"Female",0
"ARE",2000,"Female",0.387075
"ARE",2001,"Female",0.41795
"ARE",2002,"Female",0.4051
"ARE",2003,"Female",0.38936625
"ARE",2004,"Female",0.380285
"ARE",2005,"Female",0.411685714285714
"ARE",2006,"Female",0.429562857142857
"ARE",2007,"Female",0.502911428571429
"ARE",2008,"Female",0.58192
"ARE",2009,"Female",0.63297
"ARE",2010,"Female",0.763018333333333
"ARE",2011,"Female",0.667645
"ARE",2012,"Female",0.584466666666667
"ARE",2013,"Female",0.4875
"ARE",2014,"Female",0.501526666666667
"ARE",2015,"Female",0.67736
"ARE",2016,"Female",0.75443
"ARE",2017,"Female",0.82257
"ARE",2018,"Female",0.866864
"ARE",2019,"Female",0.88312
"ARE",2020,"Female",0.924996
"ARE",2021,"Female",0.669776
"ARG",2000,"Female",6.80625752105897
"ARG",2001,"Female",6.99634591961023
"ARG",2002,"Female",6.72749691738594
"ARG",2003,"Female",5.98626716604245
"ARG",2004,"Female",5.95707070707071
"ARG",2005,"Female",6.20434227330779
"ARG",2006,"Female",6.47612903225806
"ARG",2007,"Female",7.55149934810952
"ARG",2008,"Female",6.92612137203166
"ARG",2009,"Female",7.37433155080214
"ARG",2010,"Female",7.49389416553596
"ARG",2011,"Female",7.54068965517241
"ARG",2012,"Female",7.83450210378682
"ARG",2013,"Female",6.54857142857143
"ARG",2014,"Female",6.41860465116279
"ARG",2015,"Female",6.42603550295858
"ARG",2016,"Female",6.68674698795181
"ARG",2017,"Female",6.68912710566616
"ARG",2018,"Female",5.34992223950233
"ARG",2019,"Female",5.14984227129338
"ARG",2020,"Female",4.81687898089172
"ARG",2021,"Female",4.43017656500803
"ARM",2000,"Female",0.0101947368421053
"ARM",2001,"Female",0.0157013888888889
"ARM",2002,"Female",0.0245885714285714
"ARM",2003,"Female",0.034736
"ARM",2004,"Female",0.0490628571428571
"ARM",2005,"Female",0.0616933333333333
"ARM",2006,"Female",0.0701833333333333
"ARM",2007,"Female",0.0919497142857143
"ARM",2008,"Female",0.112248571428571
"ARM",2009,"Female",0.135604411764706
"ARM",2010,"Female",0.12855
"ARM",2011,"Female",0.1170421875
"ARM",2012,"Female",0.104708333333333
"ARM",2013,"Female",0.0741092857142857
"ARM",2014,"Female",0.0822448
"ARM",2015,"Female",0.0938086363636364
"ARM",2016,"Female",0.095256
"ARM",2017,"Female",0.09164
"ARM",2018,"Female",0.0699411764705882
"ARM",2019,"Female",0.05745
"ARM",2020,"Female",0.0532147058823529
"ARM",2021,"Female",0.07015
"AUS",2000,"Female",0.0129393939393939
"AUS",2001,"Female",0.0121463101604278
"AUS",2002,"Female",0.012388418079096
"AUS",2003,"Female",0.0201113450292398
"AUS",2004,"Female",0.0314692215568862
"AUS",2005,"Female",0.0387579268292683
"AUS",2006,"Female",0.0388901234567901
"AUS",2007,"Female",0.03733125
"AUS",2008,"Female",0.0468317610062893
"AUS",2009,"Female",0.0608424050632911
"AUS",2010,"Female",0.0602352229299363
"AUS",2011,"Female",0.0478019230769231
"AUS",2012,"Female",0.0430951948051948
"AUS",2013,"Female",0.0364838157894737
"AUS",2014,"Female",0.0279860135135135
"AUS",2015,"Female",0.0210057931034483
"AUS",2016,"Female",0.0145634042553191
"AUS",2017,"Female",0.0114895652173913
"AUS",2018,"Female",0.00938622222222222
"AUS",2019,"Female",0.0068609022556391
"AUS",2020,"Female",0.00543893129770992
"AUS",2021,"Female",0.00716372093023256
"AUT",2000,"Female",0.0245205633802817
"AUT",2001,"Female",0.038052972972973
"AUT",2002,"Female",0.0355642105263158
"AUT",2003,"Female",0.00731236842105263
"AUT",2004,"Female",0.0064128
"AUT",2005,"Female",0.00629
"AUT",2006,"Female",0.00641268656716418
"AUT",2007,"Female",0.00653
"AUT",2008,"Female",0.00644169491525424
"AUT",2009,"Female",0.00582214285714286
"AUT",2010,"Female",0.00622528301886792
"AUT",2011,"Female",0.00770204081632653
