"ISO3","Year","Sex","HIV"
"AFG",2000,"Male",0.101853241852487
"AFG",2001,"Male",0.114078352842809
"AFG",2002,"Male",0.130201433224756
"AFG",2003,"Male",0.158452722917221
"AFG",2004,"Male",0.182672251585624
"AFG",2005,"Male",0.206083186900958
"AFG",2006,"Male",0.244423813398427
"AFG",2007,"Male",0.298641257966196
"AFG",2008,"Male",0.360922502113271
"AFG",2009,"Male",0.464178588035157
"AFG",2010,"Male",0.572002337369755
"AFG",2011,"Male",0.684031471238938
"AFG",2012,"Male",0.818435895703864
"AFG",2013,"Male",0.911011354634275
"AFG",2014,"Male",0.974086550919927
"AFG",2015,"Male",1.02895950794464
"AFG",2016,"Male",2.14136259249809
"AFG",2017,"Male",2.22392246875797
"AFG",2018,"Male",1.14034192396019
"AFG",2019,"Male",2.33146353901071
"AFG",2020,"Male",2.36063072227874
"AFG",2021,"Male",2.38467394062421
"AGO",2000,"Male",8.0865903692507
"AGO",2001,"Male",10.051804670913
"AGO",2002,"Male",13.0995181227739
"AGO",2003,"Male",17.2177152317881
"AGO",2004,"Male",21.3630390143737
"AGO",2005,"Male",26.7781429745275
"AGO",2006,"Male",32.4896608767577
"AGO",2007,"Male",37.1057250313414
"AGO",2008,"Male",44.0533333333333
"AGO",2009,"Male",52.420077552779
"AGO",2010,"Male",62.2812706816678
"AGO",2011,"Male",74.0167382945035
"AGO",2012,"Male",88.1550369685767
"AGO",2013,"Male",104.325842696629
"AGO",2014,"Male",118.331922896098
"AGO",2015,"Male",129.581963363081
"AGO",2016,"Male",145.48785046729
"AGO",2017,"Male",167.489682355669
"AGO",2018,"Male",186.551090700344
"AGO",2019,"Male",209.859410430839
"AGO",2020,"Male",246.997770842621
"AGO",2021,"Male",260.92551087673
"ALB",2000,"Male",0.0029619512195122
"ALB",2001,"Male",0.00373903225806452
"ALB",2002,"Male",0.0047
"ALB",2003,"Male",0.00587808
"ALB",2004,"Male",0.00697190082644628
"ALB",2005,"Male",0.00704389380530973
"ALB",2006,"Male",0.00889788461538461
"ALB",2007,"Male",0.0100676288659794
"ALB",2008,"Male",0.00975032258064516
"ALB",2009,"Male",0.00895351648351648
"ALB",2010,"Male",0.00938181818181818
"ALB",2011,"Male",0.00966
"ALB",2012,"Male",0.00802317073170732
"ALB",2013,"Male",0.00666455696202532
"ALB",2014,"Male",0.0056313698630137
"ALB",2015,"Male",0.00567954545454545
"ALB",2016,"Male",0.00533423728813559
"ALB",2017,"Male",0.00498148148148148
"ALB",2018,"Male",0.00526764705882353
"ALB",2019,"Male",0.00682285714285714
"ALB",2020,"Male",0.00702
"ALB",2021,"Male",0.006608
"AND",2000,"Male",0
"AND",2001,"Male",0
"AND",2002,"Male",0
"AND",2003,"Male",0
"AND",2004,"Male",0
"AND",2005,"Male",0
"AND",2006,"Male",0
"AND",2007,"Male",0
"AND",2008,"Male",0
