"ISO3","Year","Sex","Measles","measout","msl"
"AFG",2000,"F",0,NA,NA
"AFG",2001,"F",0,NA,NA
"AFG",2002,"F",0,NA,NA
"AFG",2003,"F",0,NA,NA
"AFG",2004,"F",0,NA,NA
"AFG",2005,"F",0,NA,NA
"AFG",2006,"F",0,NA,NA
"AFG",2007,"F",0,NA,NA
"AFG",2008,"F",0,NA,NA
"AFG",2009,"F",0,NA,NA
"AFG",2010,"F",0,NA,NA
"AFG",2011,"F",0,NA,NA
"AFG",2012,"F",0,NA,NA
"AFG",2013,"F",0,NA,NA
"AFG",2014,"F",0,NA,NA
"AFG",2015,"F",0,NA,NA
"AFG",2016,"F",0,NA,NA
"AFG",2017,"F",0,NA,NA
"AFG",2018,"F",0,NA,NA
"AFG",2019,"F",0,NA,NA
"AFG",2020,"F",0,NA,NA
"AFG",2021,"F",0,NA,NA
"AGO",2000,"F",0,NA,NA
"AGO",2001,"F",0,NA,NA
"AGO",2002,"F",0,NA,NA
"AGO",2003,"F",0,NA,NA
"AGO",2004,"F",0,NA,NA
"AGO",2005,"F",0,NA,NA
"AGO",2006,"F",0,NA,NA
"AGO",2007,"F",0,NA,NA
"AGO",2008,"F",0,NA,NA
"AGO",2009,"F",0,NA,NA
"AGO",2010,"F",0,NA,NA
"AGO",2011,"F",0,NA,NA
"AGO",2012,"F",0,NA,NA
"AGO",2013,"F",0,NA,NA
"AGO",2014,"F",0,NA,NA
"AGO",2015,"F",0,NA,NA
"AGO",2016,"F",0,NA,NA
"AGO",2017,"F",0,NA,NA
"AGO",2018,"F",0,NA,NA
"AGO",2019,"F",0,NA,NA
"AGO",2020,"F",0,NA,NA
"AGO",2021,"F",0,NA,NA
"ALB",2000,"F",0,NA,NA
"ALB",2001,"F",0,NA,NA
"ALB",2002,"F",0,NA,NA
"ALB",2003,"F",0,NA,NA
"ALB",2004,"F",0,NA,NA
"ALB",2005,"F",0,NA,NA
"ALB",2006,"F",0,NA,NA
"ALB",2007,"F",0,NA,NA
"ALB",2008,"F",0,NA,NA
"ALB",2009,"F",0,NA,NA
"ALB",2010,"F",0,NA,NA
"ALB",2011,"F",0,NA,NA
"ALB",2012,"F",0,NA,NA
"ALB",2013,"F",0,NA,NA
"ALB",2014,"F",0,NA,NA
"ALB",2015,"F",0,NA,NA
"ALB",2016,"F",0,NA,NA
"ALB",2017,"F",0,NA,NA
"ALB",2018,"F",0,NA,NA
"ALB",2019,"F",0,NA,NA
"ALB",2020,"F",0,NA,NA
"ALB",2021,"F",0,NA,NA
"AND",2000,"F",0,NA,NA
"AND",2001,"F",0,NA,NA
"AND",2002,"F",0,NA,NA
"AND",2003,"F",0,NA,NA
"AND",2004,"F",0,NA,NA
"AND",2005,"F",0,NA,NA
"AND",2006,"F",0,NA,NA
"AND",2007,"F",0,NA,NA
"AND",2008,"F",0,NA,NA
"AND",2009,"F",0,NA,NA
"AND",2010,"F",0,NA,NA
"AND",2011,"F",0,NA,NA
"AND",2012,"F",0,NA,NA
"AND",2013,"F",0,NA,NA
"AND",2014,"F",0,NA,NA
"AND",2015,"F",0,NA,NA
"AND",2016,"F",0,NA,NA
"AND",2017,"F",0,NA,NA
"AND",2018,"F",0,NA,NA
"AND",2019,"F",0,NA,NA
"AND",2020,"F",0,NA,NA
"AND",2021,"F",0,NA,NA
"ARE",2000,"F",0,NA,NA
"ARE",2001,"F",0,NA,NA
"ARE",2002,"F",0,NA,NA
"ARE",2003,"F",0,NA,NA
"ARE",2004,"F",0,NA,NA
"ARE",2005,"F",0,NA,NA
"ARE",2006,"F",0,NA,NA
"ARE",2007,"F",0,NA,NA
"ARE",2008,"F",0,NA,NA
"ARE",2009,"F",0,NA,NA
"ARE",2010,"F",0,NA,NA
"ARE",2011,"F",0,NA,NA
"ARE",2012,"F",0,NA,NA
"ARE",2013,"F",0,NA,NA
"ARE",2014,"F",0,NA,NA
"ARE",2015,"F",0,NA,NA
"ARE",2016,"F",0,NA,NA
"ARE",2017,"F",0,NA,NA
"ARE",2018,"F",0,NA,NA
"ARE",2019,"F",0,NA,NA
"ARE",2020,"F",0,NA,NA
"ARE",2021,"F",0,NA,NA
"AZE",2000,"F",0,NA,NA
"AZE",2001,"F",0,NA,NA
"AZE",2002,"F",0,NA,NA
"AZE",2003,"F",0,NA,NA
"AZE",2004,"F",0,NA,NA
"AZE",2005,"F",0,NA,NA
"AZE",2006,"F",0,NA,NA
"AZE",2007,"F",0,NA,NA
"AZE",2008,"F",0,NA,NA
"AZE",2009,"F",0,NA,NA
"AZE",2010,"F",0,NA,NA
"AZE",2011,"F",0,NA,NA
"AZE",2012,"F",0,NA,NA
"AZE",2013,"F",0,NA,NA
"AZE",2014,"F",0,NA,NA
"AZE",2015,"F",0,NA,NA
"AZE",2016,"F",0,NA,NA
"AZE",2017,"F",0,NA,NA
"AZE",2018,"F",0,NA,NA
"AZE",2019,"F",0,NA,NA
"AZE",2020,"F",0,NA,NA
"AZE",2021,"F",0,NA,NA
"BDI",2000,"F",0,NA,NA
"BDI",2001,"F",0,NA,NA
"BDI",2002,"F",0,NA,NA
"BDI",2003,"F",0,NA,NA
"BDI",2004,"F",0,NA,NA
"BDI",2005,"F",0,NA,NA
"BDI",2006,"F",0,NA,NA
"BDI",2007,"F",0,NA,NA
"BDI",2008,"F",0,NA,NA
"BDI",2009,"F",0,NA,NA
"BDI",2010,"F",0,NA,NA
"BDI",2011,"F",0,NA,NA
"BDI",2012,"F",0,NA,NA
"BDI",2013,"F",0,NA,NA
"BDI",2014,"F",0,NA,NA
"BDI",2015,"F",0,NA,NA
"BDI",2016,"F",0,NA,NA
"BDI",2017,"F",0,NA,NA
"BDI",2018,"F",0,NA,NA
"BDI",2019,"F",0,NA,NA
"BDI",2020,"F",0,NA,NA
"BDI",2021,"F",0,NA,NA
"BEN",2000,"F",0,NA,NA
"BEN",2001,"F",0,NA,NA
"BEN",2002,"F",0,NA,NA
"BEN",2003,"F",0,NA,NA
"BEN",2004,"F",0,NA,NA
"BEN",2005,"F",0,NA,NA
"BEN",2006,"F",0,NA,NA
"BEN",2007,"F",0,NA,NA
"BEN",2008,"F",0,NA,NA
"BEN",2009,"F",0,NA,NA
"BEN",2010,"F",0,NA,NA
"BEN",2011,"F",0,NA,NA
"BEN",2012,"F",0,NA,NA
"BEN",2013,"F",0,NA,NA
"BEN",2014,"F",0,NA,NA
"BEN",2015,"F",0,NA,NA
"BEN",2016,"F",0,NA,NA
"BEN",2017,"F",0,NA,NA
"BEN",2018,"F",0,NA,NA
"BEN",2019,"F",0,NA,NA
"BEN",2020,"F",0,NA,NA
"BEN",2021,"F",0,NA,NA
"BFA",2000,"F",0,NA,NA
"BFA",2001,"F",0,NA,NA
"BFA",2002,"F",0,NA,NA
"BFA",2003,"F",0,NA,NA
"BFA",2004,"F",0,NA,NA
"BFA",2005,"F",0,NA,NA
"BFA",2006,"F",0,NA,NA
"BFA",2007,"F",0,NA,NA
"BFA",2008,"F",0,NA,NA
"BFA",2009,"F",0,NA,NA
"BFA",2010,"F",0,NA,NA
"BFA",2011,"F",0,NA,NA
"BFA",2012,"F",0,NA,NA
