"ISO3","Year","Sex","Congenital","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","Measles","epi_meas","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI"
"AND",2008,"Both",0.0947514795125022,0.00563454099109024,0.0204939869820078,0.0504557744510021,0.0328359544901113,0,0.243165993167031,0.13638866883027,0.048515991138118,0.232176091139231,0.135581519298636,5,9,0,0.58704267014334,0,0.58704267014334,0,0,0.0390981151489891,0,0,0.0390981151489891,0,0,0,0,0,0,0,0,0
"AND",2009,"Both",0.095770949367474,0.00560212690517106,0.0206223462746923,0.0501297452765333,0.0331063403276077,0,0.245666209973032,0.134229407609891,0.0478184295924201,0.235036127445211,0.132018317227968,5,9,0,0.560935418950863,0,0.560935418950863,0,0,0.0781962308145573,0,0,0.0781962308145573,0,0,0,0,0,0,0,0,0
"AND",2010,"Both",0.0967083287016498,0.0056058075676874,0.0207850359226751,0.0498079411786838,0.0335247819508663,0,0.247903450721929,0.132051645415784,0.0472506120570415,0.237735950485795,0.128626445997888,5,9,0,0.535604700862204,0,0.535604700862204,0,0,0.0684217019543916,0,0,0.0684217019543916,0,0,0,0,0,0,0,0,0
"AND",2011,"Both",0.0976349479173663,0.00560806740533473,0.0209428650396413,0.0494843236745901,0.0339402211122495,0,0.250096489409986,0.12986790635546,0.0466875131638615,0.240444128360872,0.125293537560638,5,9,0,0.509932965013148,0,0.509932965013148,0,0,0.0293235861408906,0,0,0.0293235861408906,0,0,0,0,0,0,0,0,0
"AND",2012,"Both",0.0985947570291842,0.00558400366278944,0.0210714178488423,0.0491580834176448,0.0342617451902564,0,0.252393297326007,0.127692073375726,0.0460565026015137,0.243230204605671,0.121957914942365,5,9,0,0.489466832535554,0,0.489466832535554,0,0,0.0879707596003104,0,0,0.0879707596003104,0,0,0,0,0,0,0,0,0
"AND",2013,"Both",0.099611934507474,0.00552092419312434,0.0211562901918335,0.0488275327029202,0.0344343535057852,0,0.254872222734985,0.125529045649613,0.0453213619231271,0.246137380870858,0.11858895372028,5,9,0,0.46728566790737,0,0.46728566790737,0,0,0.0488726441015115,0,0,0.0488726441015115,0,0,0,0,0,0,0,0,0
"AND",2014,"Both",0.100682417886394,0.00542555610762591,0.0212006270297376,0.0484684795530338,0.0344487310417147,0,0.257512160828473,0.123381250510722,0.0444867928221659,0.249184676358673,0.11520930786146,5,9,0,0.446604154421027,0,0.446604154421027,0,0,0.0586471730128612,0,0,0.0586471730128612,0,0,0,0,0,0,0,0,0
"AND",2015,"Both",0.101757228248307,0.00532619555640785,0.021235190401066,0.0480636908137546,0.0344044840366813,0,0.260162503759613,0.121255602641244,0.0436319973321593,0.252255646879707,0.11190746033106,5,9,0,0.425206306784235,0,0.425206306784235,0,0,0.0390981151264555,0,0,0.0390981151264555,0,0,0,0,0,0,0,0,0
"AND",2016,"Both",0.10285647824353,0.00521355605166384,0.0212494932969954,0.0475884196272135,0.0342464581004847,0,0.262884995918974,0.11914936086163,0.0427189879135899,0.255416117977182,0.108676132008736,5,9,0,0.406548298004834,0,0.406548298004834,0,0,0.0390981151235469,0,0,0.0390981151235469,0,0,0,0,0,0,0,0,0
"AND",2017,"Both",0.103975881280352,0.00509023879204899,0.0212475655418467,0.0470217947188574,0.0339775556391391,0,0.265671807601526,0.117060678019863,0.0417498564373405,0.258662810511515,0.105541811457513,5,9,0,0.389814642533248,0,0.389814642533248,0,0,0.0097745280113701,0,0,0.0097745280113701,0,0,0,0,0,0,0,0,0
"AND",2018,"Both",0.105069317454772,0.00497815597707623,0.0212543433796565,0.0463843263663935,0.0337015449945946,0,0.268374669148037,0.114985255328875,0.0408047340964359,0.26190609621642,0.102541557037739,5,9,0,0.375083736396889,0,0.375083736396889,0,0,0.0195490570891358,0,0,0.0195490570891358,0,0,0,0,0,0,0,0,0
"AND",2019,"Both",0.1061396835332,0.00487342032132286,0.0212654514913352,0.0456946149016196,0.0334170045136233,0,0.270999921435377,0.112914628710054,0.0398813893815594,0.265159311048084,0.0996545746638243,5,9,0,0.36327115566655,0,0.36327115566655,0,0,0.0488726440786832,0,0,0.0488726440786832,0,0,0,0,0,0,0,0,0
"AND",2020,"Both",0.107052445002508,0.0048431171596607,0.0213605559306835,0.0450338452383146,0.0334295139435537,0,0.27315995652432,0.110917160021072,0.0391865269426434,0.268088169429991,0.0969287098072532,5,9,0,0.35213039484145,0,0.35213039484145,0,0,0.0488726440786832,0,0,0.0488726440786832,0,0,0,0,0,0,0,0,0
"AND",2021,"Both",0.107900429791764,0.0048407353552277,0.021482573973508,0.0444021555351963,0.0335467460398436,0,0.275126255406481,0.10896085697565,0.0385708211231787,0.270898327183703,0.0942710986154481,5,9,0,0.342065122082554,0,0.342065122082554,0,0,0.0488726440786832,0,0,0.0488726440786832,0,0,0,0,0,0,0,0,0
"COK",2006,"Both",0.0816421496964867,0.0282767661463981,0.0284746456251952,0.04027023045429,0.0547641585870842,0,0.200200179515197,0.137356405139085,0.0638923412694258,0.195699487520748,0.169423636046089,5,9,0,1.5880202561524,0,1.5880202561524,0,0,0.0194922550017685,0,0,0.0194922550017685,0,0,0,0,0,0,0,0,0
"COK",2007,"Both",0.0832171415693456,0.0266755470085394,0.0285149452059377,0.0394622328412314,0.0533276020703221,0,0.204531318293438,0.136107882130981,0.0629459689374856,0.200408935551578,0.164808426391141,5,9,0,1.50972755927801,0,1.50972755927801,0,0,0.0218014343580963,0,0,0.0218014343580963,0,0,0,0,0,0,0,0,0
"COK",2008,"Both",0.0849623245784504,0.0246155785392453,0.0284418313406971,0.0386595456982555,0.0514525368181927,0,0.209516078433584,0.134999485372636,0.0619120233402376,0.205647032826788,0.159793563051913,5,9,0,1.43402844274635,0,1.43402844274635,0,0,0.0389845105493658,0,0,0.0389845105493658,0,0,0,0,0,0,0,0,0
"COK",2009,"Both",0.0867313322954958,0.0225897936582518,0.0283215789516131,0.037861211928089,0.0495034400317282,0,0.214625727784634,0.133853218737019,0.0608063658270556,0.210984553855171,0.154722776930942,5,9,0,1.36596020344458,0,1.36596020344458,0,0,0.0389845105419916,0,0,0.0389845105419916,0,0,0,0,0,0,0,0,0
"COK",2010,"Both",0.0884699953241232,0.0207490986851371,0.0281822604906928,0.0370705431364044,0.0476178757079498,0,0.219656329130021,0.132609766617928,0.0596433939635003,0.216258188847151,0.149742548097092,5,9,0,1.30771728106426,0,1.30771728106426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",2011,"Both",0.0900810166470643,0.019313783046484,0.0280853906474674,0.0362960249659157,0.0460408271543427,0,0.224231202770808,0.131186309411448,0.0584871101933432,0.221177012210936,0.14510132295219,5,9,0,1.2544487581245,0,1.2544487581245,0,0,0.0294634412754611,0,0,0.0294634412754611,0,0,0,0,0,0,0,0,0
"COK",2012,"Both",0.0916226027706346,0.0180928721961395,0.0280019197973063,0.0355382526425123,0.0446250552577411,0,0.228564227231218,0.129653705329928,0.0573249888174753,0.225910892817013,0.140665483140032,5,9,0,1.20649255720562,0,1.20649255720562,0,0,0.029463441269347,0,0,0.029463441269347,0,0,0,0,0,0,0,0,0
"COK",2013,"Both",0.0929383332259432,0.0174112822212597,0.0280401784037412,0.034809983273466,0.0437579561427516,0,0.232046182059393,0.127901371384186,0.056294317913574,0.229999313851751,0.136801081523934,5,9,0,1.16333608837801,0,1.16333608837801,0,0,0.0389845105129978,0,0,0.0389845105129978,0,0,0,0,0,0,0,0,0
"COK",2014,"Both",0.0942509058999705,0.0167294100517467,0.0280601306746856,0.0340975803387625,0.0428803146405512,0,0.235533429120931,0.126131064978523,0.0552463418342813,0.234096877472152,0.132973944988397,5,9,0,1.12214384427858,0,1.12214384427858,0,0,0.038984510507081,0,0,0.038984510507081,0,0,0,0,0,0,0,0,0
"COK",2015,"Both",0.0956879186175374,0.0157824070202384,0.0279715163396913,0.0333885757746473,0.0416728239642481,0,0.239523624597752,0.124437349146334,0.0540638437735013,0.238574483683387,0.128897457082664,5,9,0,1.08480803245731,0,1.08480803245731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",2016,"Both",0.096970953682279,0.0151612440399713,0.0279679930281853,0.0327022675715384,0.0408223127709825,0,0.242938192585668,0.122623879703475,0.0529876724519678,0.242618239606426,0.125207244559507,5,9,0,1.05101007000907,0,1.05101007000907,0,0,0.0389845105004522,0,0,0.0389845105004522,0,0,0,0,0,0,0,0,0
