"ISO3","Year","Sex","Cardiovascular","Digestive","Drowning","InterpVio","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","SelfHarm","Maternal","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD"
"MCO",2000,"Male",0.0418472760678905,0.00647098420280348,0.0242522521520304,0.0664106623957262,0.0934708846618506,0.0675699159820583,0.025794115566844,0.186934459708286,0.234750891087597,0.252498558174913,0,15,19,0,2.65841846347918,0,2.65841846347918,0,0,0,0,0,0,0,0,0
"MCO",2001,"Male",0.0414598559931348,0.00631480214149847,0.0229994689843473,0.0672645271490563,0.0932457358879415,0.0645099790804851,0.0249723879952531,0.190695107230146,0.232325801576769,0.256212333961369,0,15,19,0,2.5992710820577,0,2.5992710820577,0,0,0,0,0,0,0,0,0
"MCO",2002,"Male",0.0409539672928273,0.00616032092258311,0.0217599509192563,0.0694538955175073,0.0926767818227023,0.0613157685700206,0.0241508543192868,0.194462438960334,0.22900092702223,0.260065094653253,0,15,19,0,2.54181891312404,0,2.54181891312404,0,0,0,0,0,0,0,0,0
"MCO",2003,"Male",0.0403094281877012,0.00600063717624521,0.0205662996408066,0.0723182904264866,0.0917320174812009,0.0581946628597876,0.0233084711267408,0.197770788352975,0.224728420520527,0.265070984227529,0,15,19,0,2.48888676701796,0,2.48888676701796,0,0,0.000802895632349092,0,0,0,0,0,0
"MCO",2004,"Male",0.0395034550335567,0.00582922256231904,0.0193713050773613,0.0760109669485295,0.0903589124897451,0.0550388379669955,0.0224215565324235,0.200687138361935,0.21926897316721,0.271509631859925,0,15,19,0,2.44795741814256,0,2.44795741814256,0,0,0.00218089529787238,0,0,0,0,0,0
"MCO",2005,"Male",0.0386393153044744,0.00566080375898721,0.0182373011314247,0.0800961227498433,0.0888493001428267,0.0519410922855754,0.0215502682249817,0.203286582457157,0.213296583414091,0.278442630530638,0,15,19,0,2.41290348016252,0,2.41290348016252,0,0,0.0038940741247909,0,0,0,0,0,0
"MCO",2006,"Male",0.037610358230184,0.0054783747264996,0.0169719006519564,0.0861859714808072,0.0868146259699988,0.0483295609788519,0.0205969463435865,0.206136647539671,0.206037664862967,0.285837949215478,0,15,19,0,2.37310310608571,0,2.37310310608571,0,0,0.0056939508932719,0,0,0,0,0,0
"MCO",2007,"Male",0.0362292430392814,0.00524998772003353,0.0152341066601615,0.0966054789261295,0.0834876494699524,0.0431538547991599,0.0193536339916609,0.210040565169125,0.195983124094506,0.29466235612999,0,15,19,0,2.33980125913439,0,2.33980125913439,0,0,0.00731785488884522,0,0,0,0,0,0
"MCO",2008,"Male",0.0350009506305782,0.00504644511529984,0.0137298849745169,0.105017039679177,0.0805422163270672,0.0385706669931296,0.0181994592026978,0.213099938674263,0.187244193460721,0.303549204942549,0,15,19,0,2.3049757862662,0,2.3049757862662,0,0,0.00849743626932866,0,0,0,0,0,0
"MCO",2009,"Male",0.0343006512636376,0.00491943392006601,0.0130500305835901,0.107169703225599,0.0794934711265955,0.0366146145893535,0.0175135367665519,0.213941114625927,0.183357677837858,0.309639766060821,0,15,19,0,2.26701074465495,0,2.26701074465495,0,0,0.00895922171319398,0,0,0,0,0,0
"MCO",2010,"Male",0.033597164040607,0.0047895448553873,0.0123889759752184,0.108870005874654,0.0783956098500703,0.0347728981236201,0.0168224801723987,0.214480312690454,0.179693490727899,0.316189517689692,0,15,19,0,2.22589910218685,0,2.22589910218685,0,0,0.00841044611773704,0,0,0,0,0,0
