"ISO3","Year","Sex","Cardiovascular","Digestive","Drowning","InterpVio","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","SelfHarm","Maternal","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD"
"AFG",2000,"Male",0.0712239315408204,0.0345125816468538,0.0248005025269622,0.0111986622604957,0.0304666100675815,0.0492915740960766,0.600379512651377,0.0644738002325124,0.0692115190311775,0.0444413059461433,0,15,19,2007,9.71625933225831,2007,9.71625933225831,465.059149001368,0,2789.92962555004,0.101853241852487,0,0,87.2425842285156,0,55.9953
"AFG",2001,"Male",0.0717897785491179,0.0348531527274708,0.0250556003930835,0.0113286827019961,0.0307786145896132,0.0498119329116079,0.596431009767473,0.0651251127839682,0.0699194103708807,0.0449067052047889,0,15,19,1849,9.08036954131556,1849,9.08036954131556,446.510241461905,0,2661.37007106408,0.114078352842809,0,0,97.3113174438477,0.170546501874924,51.5871
"AFG",2002,"Male",0.0722790105211531,0.0351561405425821,0.0252831455823042,0.0114483505512164,0.0310568357583744,0.0502766754555724,0.592921255788628,0.0657053976301105,0.0705506858576863,0.0453225023123721,0,15,19,1776,8.44160334320732,1776,8.44160334320732,424.052991629982,0,2507.28178154488,0.130201433224756,0,0,23.5011978149414,54.859935760498,49.5504
"AFG",2003,"Male",0.0726020385382243,0.0353756989282781,0.0254494362016303,0.0115391992000109,0.0312598634878498,0.0506170352120048,0.590389244720073,0.0661279708755075,0.0710116303053966,0.0456278825310241,0,15,19,1852,7.91183058485493,1852,7.91183058485493,451.784623726878,0,2675.43542705786,0.158452722917221,0,0,0,6.31412553787231,51.6708
"AFG",2004,"Male",0.0727603602677034,0.0355123042602386,0.0255543449183549,0.0115915569097805,0.0313873554660713,0.0508312511905664,0.588844566330906,0.0663931303603699,0.0713020403291592,0.0458230899668501,0,15,19,1860,7.4504237568574,1860,7.4504237568574,418.743579828322,0,2454.82049271664,0.182672251585624,0,0,7.20341444015503,0.813706874847412,51.894
"AFG",2005,"Male",0.0727237073367542,0.0355501840429905,0.0255860727076963,0.0115966748213158,0.0314247500598345,0.0508947746491334,0.588477169717265,0.0664704848137847,0.0713891782874518,0.0458870035637732,0,15,19,1841,7.09071488123447,1841,7.09071488123447,398.493778634379,0,2319.11620566212,0.206083186900958,0,0,16.3032569885254,23.717586517334,51.3639
"AFG",2006,"Male",0.072483450161863,0.0354845683579603,0.0255408743961973,0.0115514189690169,0.0313674852447304,0.0507997386607901,0.589345740825961,0.0663511521243823,0.0712627275716171,0.0458128436874816,0,15,19,1916,6.97030045032793,1916,6.97030045032793,371.916381020429,0,2147.21172255036,0.244423813398427,0,0,68.0766830444336,15.1897592544556,53.4564
"AFG",2007,"Male",0.0720967952652263,0.035344150192866,0.0254398137476696,0.0114649262526432,0.0312414510024174,0.0505888752659642,0.591115223608507,0.0660889099471658,0.0709812831758831,0.0456385715416576,0,15,19,2038,7.06177546360241,2038,7.06177546360241,346.746951967135,0,1988.05159250225,0.298641257966196,0,0,29.5961074829102,11.9038801193237,56.8602
"AFG",2008,"Male",0.0716152425700895,0.0351545863630036,0.0253023201082529,0.0113581661313561,0.0310707518220339,0.0503035156189285,0.593464996396273,0.0657332327828505,0.0705986765236184,0.045398511683594,0,15,19,2143,7.29206318117468,2143,7.29206318117468,369.913024923027,0,2127.09052215102,0.360922502113271,0,0,44.3389892578125,1.15085685253143,59.7897
"AFG",2009,"Male",0.0711475274117182,0.0349756406541336,0.0251730262216261,0.0112574615315602,0.0309102774748611,0.0500353765058331,0.595690335241206,0.0653982525224666,0.0702388494709715,0.045173252965624,0,15,19,2378,7.60394907548009,2378,7.60394907548009,416.350405491062,0,2411.50547900724,0.464178588035157,0,0,209.062896728516,5.18032884597778,66.3462
