"ISO3","Year","Sex","OtherCMPN","TB","Maternal","Cardiovascular","OtherNCD","Digestive","Neoplasms","RTI","Drowning","CollectVio","InterpVio","SelfHarm","OtherInj","NatDis","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","HIV","epi_colvio","epi_natdis","minCD","OCDresid"
"CHN",2000,"Male",1677.52737276532,403.436827361584,0,2210.07026278228,4519.32956204843,689.65692829527,5872.50162836907,13729.3738546371,5654.17231692376,70.8325398999731,1513.77416552603,3253.98226667941,6853.51377126573,210.14324893523,15,19,46674,4.20638066535511,46674,4.20638066535511,15.6846839860411,0,0,1302.2046,1677.52737276532
"CHN",2001,"Male",1641.5351301736,395.216652899981,0,2165.03926436976,4427.24655194627,675.60491349455,5752.84723730383,13449.6327881813,5538.96646627041,69.3893007208825,1482.93045743555,3187.6811753735,6713.87089522181,205.861502572429,15,19,45723,4.01152076997102,45723,4.01152076997102,17.1771051360489,0,0,1275.6717,1641.5351301736
"CHN",2002,"Male",1610.13762679075,388.042368143797,0,2125.73776207492,4346.87967667309,663.34079963062,5648.4170116633,13205.484433651,5438.41877327116,68.1296913427066,1456.01113281399,3129.81586960703,6591.99540929494,202.124542024452,15,19,44893,3.8250838794571,44893,3.8250838794571,18.4643542637784,0,0,1252.5147,1610.13762679074
"CHN",2003,"Male",1583.01351910521,381.775673627853,0,2091.40813657641,4276.67969525978,652.628170050681,5557.19783866404,12992.2223167419,5350.59096914532,67.0294301388784,1432.49726492167,3079.27087360621,6485.5379065275,198.860329497606,15,19,44168,3.6395262207666,44168,3.6395262207666,19.2873362445415,0,0,1232.2872,1583.01351910521
"CHN",2004,"Male",1559.98175354458,376.399281919003,0,2061.95568545908,4216.45295258518,643.437472673133,5478.93807920812,12809.2581281662,5275.24077029528,66.0854819060768,1412.32398791611,3035.90675289929,6394.20471104978,196.059860267677,15,19,43546,3.45783106290133,43546,3.45783106290133,19.7545498212094,0,0,1214.9334,1559.98175354458
"CHN",2005,"Male",1525.28983515266,392.110085914843,0,2189.53755538165,4353.60432163906,566.473833818919,5220.79566421361,12830.9029233754,5022.417977944,159.337546070339,1391.98054838181,2748.62802339345,6266.98054757714,163.8842098522,15,19,42877,3.2907665400922,42877,3.2907665400922,20.2600409513309,0,0,1196.2683,1525.28983515266
"CHN",2006,"Male",1444.25000717195,377.094600461423,0,2233.755594939,4390.90421795844,462.288797669114,4804.49582719802,12598.1611299515,4666.50805294513,45.0991942724212,1324.05182212591,2479.5655503273,6050.33502197265,200.01392744109,15,19,41096,3.13821762767495,41096,3.13821762767495,19.4752389226759,0,0,1146.5784,1444.25000717195
"CHN",2007,"Male",1207.58608489553,344.503533589654,0,2162.71963915229,4131.6143232719,352.795419532806,4296.51248196511,11952.3506724834,4127.91434948145,0,1217.90424213931,2105.60312173888,5581.39304605126,223.669002543204,15,19,37723,2.98295092437392,37723,2.98295092437392,18.4344355758267,0,0,1052.4717,1207.58608489553
"CHN",2008,"Male",907.210445970129,257.39405208081,0,1786.45266491175,3316.74104569852,265.627103213221,3460.52623951436,9547.90102815628,3264.50986075401,24.9715182320215,939.218252107502,1584.65958335996,4489.4098727703,4195.42717123031,15,19,34056,2.82404968518691,34056,2.82404968518691,15.9514214369603,0,0,950.1624,907.21044597013
"CHN",2009,"Male",825.708561082188,254.226220839657,0,1863.59586127102,3366.75559969246,273.836668607779,3570.82780437917,9991.3289733231,3302.974281013,15.3747265851125,937.127721581609,1529.04111607745,4405.78071033954,119.504667263478,15,19,30471,2.66992221051001,30471,2.66992221051001,14.9169803062889,0,0,850.1409,825.708561082189
"CHN",2010,"Male",695.178709885509,210.562807805836,0,1687.14640568942,2942.10107123014,267.985818851739,3136.31751842796,8917.12870940566,2914.4684991613,0,798.548363503068,1313.06963907555,3843.77864703537,104.823191578034,15,19,26845,2.52910182370926,26845,2.52910182370926,13.889930813169,0,0,748.9755,695.17870988551
"CHN",2011,"Male",585.501688584966,183.155118323862,0,1562.89968445897,2640.30920428875,240.303973835892,2728.75850735605,8065.63642689585,2667.13091206551,0,696.008328946308,1204.93319310248,3389.05805513262,30.4035487080691,15,19,24007,2.40765345345992,24007,2.40765345345992,12.9008943667397,0,0,669.7953,585.501688584966
"CHN",2012,"Male",529.281826721634,160.978255673312,0,1583.73723913729,2482.78002058901,210.743182858452,2468.17283581197,7190.83145594597,2513.64806601406,18.8388076630654,582.530697036534,1153.39180564135,3184.59616893531,61.7890648460016,15,19,22154,2.30545201083186,22154,2.30545201083186,12.68040258538,0,0,618.0966,529.281826721634
"CHN",2013,"Male",502.820462921601,143.188177209813,0,1616.78433548659,2304.77385477628,199.44406342227,2310.06247915329,6465.73077142238,2450.47499757259,11.0062436264707,465.642786640674,1145.20863745362,2959.26741287113,66.9214351626579,15,19,20655,2.21703052574741,20655,2.21703052574741,13.6739292977195,0,0,576.2745,502.820462921601
"CHN",2014,"Male",502.624531470552,127.811491414905,0,1660.09822547436,2208.52103233337,185.412102341652,2282.32475996017,5839.80880737304,2394.59606409072,13.9454965526238,356.834069341421,1096.40522986651,2732.40125656127,25.6202661339194,15,19,19440,2.14502327436745,19440,2.14502327436745,13.5963895711247,0,0,542.376,502.624531470553
"CHN",2015,"Male",481.373692267483,113.476150985807,0,1652.83711314201,2227.91418325156,184.42529771477,2274.39840048552,5348.08313965798,2359.75618243218,1.86704729829216,282.153447233141,1076.28886684775,2493.0635279417,10.6578420405276,15,19,18520,2.08277380917336,18520,2.08277380917336,13.7048402778196,0,0,516.708,481.373692267483
"CHN",2016,"Male",441.133700266866,108.183967843652,0,1575.05470275879,2332.59300515056,167.7341106534,2270.47593355179,4814.52771663665,2280.27863502502,7.03829197213054,242.303671091795,1087.11022496223,2269.70714092255,151.529523432255,15,19,17760,2.02387389743164,17760,2.02387389743164,12.3300575023371,0,0,495.504,441.133700266867
"CHN",2017,"Male",440.767247126576,109.029309195466,0,1530.19202305377,2460.89760215953,189.199872355909,2283.46933177113,4271.47913336755,2157.123095721,0,217.995912229642,1177.42608860135,2128.44425401092,15.1477914298885,15,19,16994,1.96048416763188,16994,1.96048416763188,12.8279996881987,0,0,474.1326,440.767247126575
"CHN",2018,"Male",453.039579090336,111.71884133853,0,1485.31173667312,2525.50585882179,180.423668531701,2248.28265908361,3754.05657321214,2028.38046303391,9.64780594804324,188.938009023667,1261.61956456304,2012.60582360625,31.9064608034677,15,19,16306,1.89517837795406,16306,1.89517837795406,14.5632087400658,0,0,454.9374,453.039579090336
"CHN",2019,"Male",513.084421902275,113.673436147626,0,1469.10594970733,2536.48274490237,187.482253440656,2220.79009084403,3366.20963099599,1914.87592790276,0,164.772316762246,1325.49806921929,1943.20095364005,30.3067842205055,15,19,15801,1.84033528587485,15801,1.84033528587485,15.517127837791,0,0,440.8479,513.084421902275
"CHN",2020,"Male",494.904519172251,110.133955697995,0,1423.36200139672,2457.50359734892,181.644567933865,2151.64075063169,3261.3950535357,1855.25191951544,0,159.641756680794,1284.22567822784,1882.69498128445,29.3631137036719,15,19,15309,1.78642653515517,15309,1.78642653515517,17.2378215005334,0,0,427.1211,494.904519172252
